E-UTRA DC Band,E-UTRA Band(Table 5.5)
DC_1-3,"1, 3"
DC_1-5,"1, 5"
DC_1-7,"1, 7"
DC_1-8,"1, 8"
DC_1-11,"1, 11"
DC_1-19,"1, 19"
DC_1-20,"1, 20"
DC_1-21,"1, 21"
DC_1-40,"1, 40"
DC_1-42,"1, 42"
DC_2-4,"2, 4"
DC_2-5,"2, 5"
DC_2-7,"2, 7"
DC_2-12,"2, 12"
DC_2-13,"2, 13"
DC_2-14,"2, 14"
DC_2-30,"2, 30"
DC_2-48,"2, 48"
DC_2-66,"2, 66"
DC_3-5,"3, 5"
DC_3-7,"3, 7"
DC_3-8,"3, 8"
DC_3-11,"3, 11"
DC_3-18,"3, 18"
DC_3-19,"3, 19"
DC_3-20,"3, 20"
DC_3-21,"3, 21"
DC_3-26,"3, 26"
DC_3-28,"3, 28"
DC_3-38,"3, 38"
DC_3-40,"3, 40"
DC_3-42,"3, 42"
DC_4-5,"4, 5"
DC_4-7,"4, 7"
DC_4-12,"4, 12"
DC_4-13,"4, 13"
DC_4-17,"4, 17"
DC_4-28,"4, 28"
DC_5-7,"5, 7"
DC_5-12,"5,12"
DC_5-17,"5,17"
DC_5-30,"5, 30"
DC_5-40,"5, 40"
DC_5-66,"5, 66"
DC_7-8,"7, 8"
DC_7-20,"7, 20"
DC_7-26,"7, 26"
DC_7-28,"7, 28"
DC_8-20,"8, 20"
DC_8-28,"8, 28"
DC_8-39,"8, 39"
DC_8-41,"8, 41"
DC_11-18,"11, 18"
DC_11-26,"11, 26"
DC_12-30,"12, 30"
DC_12-66,"12, 66"
DC_13-66,"13, 66"
DC_14-30,"14, 30"
DC_14-66,"14, 66"
DC_19-21,"19, 21"
DC_19-42,"19, 42"
DC_21-42,"21, 42"
DC_21-28,"21, 28"
DC_25-26,"25, 26"
DC_25-41,"25, 41"
DC_26-46,"26, 46"
DC_26-48,"26, 48"
DC_28-40,"28, 40"
DC_28-41,"28, 41"
DC_28-42,"28, 42"
DC_30-48,"30, 48"
DC_30-66,"30, 66"
DC_39-41,"39, 41"
DC_40-42,"40, 42"
DC_41-42,"41, 42"
