E-UTRA Operating Band,TX – RX carrier centre frequencyseparation
1,190 MHz
2,80 MHz.
3,95 MHz.
4,400 MHz
5,45 MHz
6,45 MHz
7,120 MHz
8,45 MHz
9,95 MHz
10,400 MHz
11,48 MHz
12,30 MHz
13,-31 MHz
14,-30 MHz
17,30 MHz
18,45 MHz
19,45 MHz
20,-41 MHz
21,48 MHz
22,100 MHz
23,180 MHz
24,"-101.51, -120.5 MHz"
25,80 MHz
26,45 MHz
27,45 MHz
28,55 MHz
30,45 MHz
31,10 MHz
65,190 MHz
66,400 MHz
68,55 MHz
…,
70,"295, 300MHz1"
71,-46 MHz
72,10 MHz
73,10 MHz
74,48 MHz
85,30 MHz
87,10 MHz
88,10 MHz
103,-30 MHz
106,39 MHz
111,20 MHz
NOTE 1:Default TX-RX carrier centre frequency separation.,
