E-UTRA CA Configuration,Class 1 (dBm),Tolerance (dB),Class 2 (dBm),Tolerance (dB),Class 3 (dBm),Tolerance (dB),Class 4 (dBm),Tolerance (dB)
CA_1C,,,,,23,+2/-2,,
CA_2C,,,,,23,+2/-2,,
CA_3C,,,,,23,+2/-22,,
CA_5B,,,,,23,+2/-22,,
CA_7C,,,,,23,+2/-22,,
CA_8B,,,,,23,+2/-22,,
CA_28C,,,,,23,+2/-22,,
CA_38C,,,,,23,+2/-2,,
CA_39C,,,,,23,+2/-2,,
CA_40C,,,26,+2/-22,23,+2/-2,,
CA_40D,,,26,+2/-22,23,+2/-2,,
CA_41C,,,26,+2/-22,23,+2/-22,,
CA_41D,,,,,23,+2/-22,,
CA_42C,,,26,+2/-22,23,+2/-3,,
CA_48B,,,,,23,+2/-3,,
CA_48C,,,,,23,+2/-3,,
CA_66B,,,,,23,+2/-2,,
CA_66C,,,,,23,+2/-2,,
"NOTE 1:VoidNOTE 2:If all transmitted resource blocks (Figure 5.6A-1) over all component carriers are confined within FUL_low and FUL_low + 4 MHz or/and FUL_high – 4 MHz and FUL_high, the maximum output power requirement is relaxed by reducing the lower tolerance limit by 1.5 dBNOTE 3:PPowerClass is the maximum UE power specified without taking into account the toleranceNOTE 4: For intra-band contiguous carrier aggregation the maximum power requirement should apply to the total transmitted power over all component carriers (per UE).",,,,,,,,
