Channel Bandwidth [MHz],,Parameters,,,,,,,,,,,,,,,,
5,Fc [MHz],,Fc > 1997.5,,,,,,,,,,,,,,,
,RBstart,,0 - 9,,,,,,,,10 - 24,,,,,,,
,LCRB [RBs],,> 12,,,,,,,,N/A,,,,,,,
,RBend,,N/A,,,,,,,,≥ 22,,,,,,,
,A-MPR [dB],,≤ 5,,,,,,,,≤ 2,,,,,,,
10,Fc [MHz],,1975 < Fc ≤ 1985,,,1985 < Fc ≤ 1995,,,,,,,,Fc > 1995,,,,
,RBstart,,0-1,2-49,,0,,,,1 - 18,,19-49,,0-6,,7-15,,16-49
,LCRB [RBs],,> 10,N/A,,≤ 25,,> 25,,> 25,,N/A,,N/A,,> 20,,N/A
,RBend,,N/A,> 48,,N/A,,N/A,,N/A,,> 42,,N/A,,N/A,,> 35
,A-MPR [dB],,≤ 1,≤ 1,,≤ 1,,≤ 5,,≤ 5,,≤ 1,,≤ 10,,≤ 7,,≤ 11
15,Fc [MHz],,1972.5 < Fc ≤ 1987.5,,,,,,,,,,,,,,Fc > 1987.5,
,RBstart,,0 - 4,,5 - 30,,,,31 - 62,,,,63 - 74,,,,0 - 74,
,LCRB [RBs],,≥ 15,,≥ 45,,,,N/A,,,,N/A,,,,0 - 74,
,RBend,,N/A,,N/A,,,,> 71,,,,N/A,,,,N/A,
,A-MPR [dB],,≤ 4,,≤ 3,,,,≤ 1,,,,≤ 1,,,,≤ 13,
20,Fc [MHz],,1970 < Fc ≤ 1990,,,,,,,,,,,,Fc > 1990,,,
,RBstart,,0 - 13,,,,14 - 40,,,,41 - 99,,,,0 - 99,,,
,LCRB [RBs],,N/A,,,,≥ 32,,,,N/A,,,,0 - 99,,,
,RBend,,N/A,,,,N/A,,,,> 72,,,,N/A,,,
,A-MPR [dB],,≤ 11,,,,≤ 11,,,,≤13,,,,≤ 13,,,
