Channel bandwidth [MHz],Carrier centre frequency (FC)[MHz],Parameters,Region A,,Region B,,Region C,,Region D,,Region E,
3MHz,1512.5 MHz ≤ FC ≤ 1515.5 MHZ,RBstart,0 – 3,,4 – 7,,8-10,,11-14,,,
,,LCRB [RBs],8-11,≥ 12,≥ 8,,≥ 3,,≥ 1,,,
,,A-MPR [dB],≤ 3,≤ 5,≤ 6,,≤ 3,,≤ 3,,,
3MHz,1511 MHz ≤ FC < 1512.5 MHz,RBstart,0,,,,,,,,,
,,LCRB [RBs],12,,,,,,,,,
,,A-MPR [dB],≤ 1,,,,,,,,,
5MHz,1507 MHz ≤ FC ≤ 1514.5 MHz,RBstart,0 – 5,,6 – 11,,12-16,,17-24,,,
,,LCRB [RBs],12-16,≥ 17,9-12,≥ 13,5-8,≥ 9,1-6,≥ 7,,
,,A-MPR [dB],≤ 5,≤ 9,≤ 6,≤ 10,≤ 4,≤ 9,≤ 4,≤ 6,,
10MHz,1502 MHz ≤ FC ≤ 1512 MHz,RBstart,0 – 22,,23 – 27,,28-35,,36-49,,,
,,LCRB [RBs],≥ 20,,15-19,≥ 20,3-14,≥ 15,1-9,≥ 10,,
,,A-MPR [dB],≤ 4,,≤ 4,≤ 9,≤ 4,≤ 10,≤ 3,≤ 8,,
10MHz,1497 MHz ≤ FC < 1502 MHz,RBstart,0 – 5,,,,,,,,,
,,LCRB [RBs],40,,,,,,,,,
,,A-MPR [dB],≤ 1,,,,,,,,,
15MHz,1497 MHz ≤ FC ≤ 1509.5 MHz,RBstart,0 – 22,,23 – 48,,49-60,,61-74,,,
,,LCRB [RBs],≥ 36,,9-23,≥ 24,1-14,≥ 15,≥ 1,,,
,,A-MPR [dB],≤ 4,,≤ 3,≤ 5,≤ 3,≤ 9,≤ 4,,,
20 MHz,1492 MHz ≤  FC ≤ 1507 MHz,RBstart,0 – 20,,21 – 40,,41 – 60,,61 – 80,,81 – 99,
,,LCRB [RBs],24-47,≥ 48,≥ 40,,15-29,≥ 30,1-17,≥18,1-14,≥ 15
,,A-MPR [dB],≤ 2,≤ 4,≤ 3,,≤2,≤ 4,≤ 3,≤ 4,≤ 3,≤ 6
