CA Bandwidth Class D,RBStart,LCRB [RBs],RBstart + LCRB [RBs],A-MPR for QPSK [dB],"A-MPR for 16 QAM, 64 QAM and 256 QAM [dB]"
50 RB / 75 RB/ 100 RB,0 – 64 and 161 – 224,>0,N/A,≤4dB,≤4.5dB
,65 – 160,N/A,>161,≤3dB,≤3.5dB
50 RB / 100 RB / 100 RB,0 – 72 and 178 – 249,>0,N/A,≤4dB,≤4.5dB
,73 – 177,N/A,>178,≤3dB,≤3.5dB
75 RB / 75 RB / 100 RB,0 – 72 and 178 – 249,>0,N/A,≤4dB,≤4.5dB
,73 – 177,N/A,>178,≤3dB,≤3.5dB
75 RB / 100 RB / 100 RB,0 – 78 and 197 – 274,>0,N/A,≤3.5dB,≤4dB
,79 - 196,N/A,>197,≤2.5dB,≤3dB
100 RB / 100 RB / 100 RB,0 – 96 and 204 – 300,>0,N/A,≤4dB,≤4dB
,97– 203,N/A,>204,≤2.5dB,≤3dB
"NOTE 1:RBstart indicates the lowest RB index of transmitted resource blocksNOTE 2:LCRB is the length of a contiguous resource block allocationNOTE 3:For intra-subframe frequency hopping which intersects regions, notes 1 and 2 apply on a per slot basis. For intra-slot or intra-subslot frequency hopping which intersects regions, notes 1 and 2 apply on a per Tno_hopping basis..NOTE 4:For intra-subframe frequency hopping which intersects regions, the larger A-MPR value may be applied for both slots in the subframe. For intra-slot frequency hopping which intersects regions, the larger A-MPR value may be applied for the slot. For intra-subslot frequency hopping which intersects regions, the larger A-MPR value may be applied for the subslot.",,,,,
