CA Bandwidth Class C,RBend,LCRB [RBs],"A-MPR for QPSK, 16 QAM, 64 QAM and 256 QAM [dB]"
100RB/100RB,0 –22,>0,≤ 4 dB
,23 – 99,"> max(0,RBend – 25)",≤ 2 dB
,100 – 142,> 75,≤ 3 dB
,143 – 177,>70,≤ 5 dB
,178 – 199,> 0,≤ 10 dB
75RB/75RB,0 – 7,>0,≤ 5 dB
,8- 74,"> max(0,RBend – 10)",≤ 2 dB
,75 – 109,>64,≤ 2 dB
,110 – 144,>35,≤ 6 dB
,145 – 149,>0,≤ 10 dB
50RB/100RBand 100RB/50RB,0 – 10,> 0,≤ 5 dB
,11 – 75,"> max(0, RB_End – 25)",≤ 2 dB
,76 – 103,> 50,≤ 3 dB
,104 – 144,> 25,≤ 6 dB
,145 – 149,> 0,≤ 10 dB
75RB/100RBand100RB/75RB,0 – 15,> 0,≤ 5 dB
,16 – 75,"> max(0, RB_End – 15)",≤ 2 dB
,76 – 120,> 50,≤ 3 dB
,121 – 160,> 50,≤ 6 dB
,161 – 174,> 0,≤ 10 dB
