Network Signalling value,Requirements (subclause),E-UTRA Band,Resources Blocks (NRB),A-MPR (dB)
NS_01,6.6.2.1.1,Table 5.5-1,Table 5.6-1,N/A
NS_03,6.6.2.2.1,"2, 4",Table 5.6-1,N/A
NS_04,6.6.2.2.2,41,Table 6.2.4E-3,
NS_05,6.6.3.3.1,1,Table 5.6-1,N/A
NS_06,6.6.2.2.3,"12, 13, 14, 85",Table 5.6-1,N/A
NS_07,6.6.2.2.36.6.3.3.2,13,Table 6.2.4E-4,
NS_08,6.6.3.3.3,19,Table 5.6-1,N/A
NS_09,6.6.3.3.4,"21, 74",Table 5.6-1,N/A
NS_10,,20,Table 5.6-1,N/A
NS_12,6.6.3.3.5,26,Table 6.2.4E-5,
NS_13,6.6.3.3.6,26,Table 5.6-1,N/A
NS_14,6.6.3.3.7,26,Table 5.6-1,N/A
NS_15,6.6.3.3.8,26,Table 6.2.4-9,
NS_16,6.6.3.3.9,27,Table 5.6-1,N/A
NS_17,6.6.3.3.10,28,Table 5.6-1,N/A
NS_18,6.6.3.3.11,28,Table 5.6-1,N/A
NS_22,6.6.3.3.16,"42, 43",Table 5.6-1,N/A
NS_23,6.6.3.3.17,"42, 43",Table 5.6-1,N/A
NS_27,"6.6.2.2.5,6.6.3.3.23",48,Table 5.6-1,N/A
NS_32,-,-,-,-
NS_35,6.6.2.2.7,71,Table 5.6-1,N/A
NS_38,6.6.3.3.29,74,Table 5.6-1,N/A
NS_39,6.6.3.3.30,74,Table 5.6-1,N/A
NS_56,6.6.3.3.35,24,Table 6.2.4E-25,
NS_62,6.6.3.3.36,54,N/A,
