Channel bandwidth [MHz],Parameters,Region,,,,
3,"(NBindex,SCstart )","(0, 0-27)","(0, 30-42)","(0, 45-51)","(0, 96-120)","(0, 123-168)"
,Lcsc,"2,3 ,6","2,3 ,6","2,3 ,6","2,3 ,6","2,3 ,6"
,A-MPR [dB],≤ 16,≤ 13,≤ 10,≤ 7,≤ 3
5,"(WBindex,SCstart )","(0, < 96)","(0, > 219)",,,
,Lcsc,"2,3,6","2,3,6",,,
,A-MPR [dB],≤ 7,≤ 1,,,
10,"(WBindex,SCstart )","(0, < 93)","(0, > 219)",,,
,Lcsc,"2,3,6","2,3,6",,,
,A-MPR [dB],≤ 7,≤ 1,,,
15,"(WBindex,SCstart )","(0, < 87)","(0, > 234)",,,
,Lcsc,"2,3,6","2,3,6",,,
,A-MPR [dB],≤ 7,≤ 1,,,
20,"(WBindex,SCstart )","(0, < 81)","(0, > 234)",,,
,Lcsc,"2,3,6","2,3,6",,,
,A-MPR [dB],≤ 7,≤ 1,,,
