E-UTRA operating band combination,E-UTRA Band,"ΔTIB,c [dB]"
"CA_1-3-5-7-28, CA_1-3-5-7-7-28",1,0.6
,3,0.6
,5,0.5
,7,0.6
,28,0.6
CA_1-3-7-8-20,1,0.6
,3,0.6
,7,0.6
,8,0.6
,20,0.6
CA_1-3-7-8-28,1,0.6
,3,0.6
,7,0.6
,8,0.6
,28,0.6
CA_1-3-7-8-38,1,0.6
,3,0.6
,7,0
,8,0.6
,38,0
CA_1-3-7-8-40,1,0.6
,3,0.6
,7,0.8
,8,0.3
,40,0.9
CA_1-3-7-20-28,1,0.6
,3,0.6
,7,0.6
,20,0.6
,28,0.6
CA_1-3-7-20-32,1,0.7
,3,0.7
,7,0.7
,20,0.3
,1,0.6
CA_1-3-7-20-38,3,0.6
,20,0.3
CA_1-3-7-20-42,1,0.7
,3,0.7
,7,0.7
,20,0.3
,42,0.8
CA_1-3-7-28-32,1,0.6
,3,0.6
,7,0.6
,28,0.6
,1,0.6
CA_1-3-7-28-38,3,0.6
,28,0.6
,1,0.6
,3,0.6
CA_1-3-7-28-40,7,0.8
,28,0.6
,40,0.9
CA_1-3-8-11-28,1,0.3
,3,0.8
,8,0.6
,11,0.9
,28,0.6
CA_1-3-8-20-28,1,0.3
,3,0.3
,8,0.6
,20,0.6
,28,0.6
CA_1-3-8-20-38,1,0.5
,3,0.5
,8,0.4
,20,0.4
,38,0.5
,1,0.3
,3,0.3
CA_1-3-20-28-38,20,0.6
,28,0.6
,38,0.3
CA_1-3-20-32-42,1,0.6
,3,0.6
,20,0.4
,42,0.8
CA_1-3-20-32-43,1,0.5
,3,0.5
,20,0.3
,43,0.8
CA_1-3-32-42-43,1,0.6
,3,0.6
,42,0.8
,43,0.8
CA_1-7-8-20-28,1,0.5
,7,0.6
,8,0.6
,20,0.6
,28,0.6
,1,0.5
CA_1-7-8-20-38,8,0.6
,20,0.6
CA_1-7-8-20-32,1,0.7
,7,0.7
,8,0.6
,20,0.6
CA_1-7-8-32-38,1,0.7
,8,0.6
CA_1-7-8-28-32,1,0.5
,7,0.7
,8,0.6
,28,0.3/0.55
CA_1-7-20-28-32,1,0.7
,7,0.7
,20,0.6
,28,0.6
,1,0.5
CA_1-7-20-28-38,20,0.6
,28,0.6
CA_1-7-20-32-38,1,0.7
,20,0.3
,1,0.5
CA_1-8-20-32-38,8,0.6
,20,0.5
,38,0.5
CA_3-7-8-20-28,3,0.5
,7,0.5
,8,0.6
,20,0.6
,28,0.5
,3,0.5
CA_3-7-8-20-38,8,0.6
,20,0.5
,3,0.5
CA_3-7-20-28-38,20,0.6
,28,0.5
,3,0
,8,0
CA_3-8-20-28-38,20,0
,28,0
,38,0
,3,0
,8,0
CA_3-8-20-28-40,20,0
,28,0
,40,0
CA_7-8-20-28-32,7,0.7
,8,0.6
,20,0.6
,28,0.5
CA_7-8-20-32-38,8,0.6
,20,0.6
"NOTE 1:The above additional tolerances are only applicable for the E-UTRA operating bands that belong to the supported inter-band carrier aggregation configurations.NOTE 2:The above additional tolerances also apply in non-aggregated operation for the supported E-UTRA operating bands that belong to the supported inter-band carrier aggregation configurations.NOTE 3:Tolerances for a UE supporting multiple 5DL inter-band CA configurations are FFS.NOTE 4:The above additional tolerances applicable for the E-UTRA operating bands that belong to the supported highest order inter-band carrier aggregation configuration, also applies to the same E-UTRA operating bands that belong to a supported lower order CA configuration.NOTE 5: Only applicable for UE supporting inter-band carrier aggregation with the uplink active in Band 8.",,
