Frequency band(MHz),Channel bandwidth / Spectrum emission limit1 (dBm),Measurement bandwidth,NOTE
,"5 MHz, 10MHz",,
1541 ≤ f ≤ 1559,-102,2kHz,Averaged over any 2 millisecond active transmission interval
1559≤ f ≤ 1608,-85,700Hz,
1608≤ f ≤ 1610,-85 +5/2 (f-1608),700Hz,
1610≤ f ≤ 1625,-80+ 66/15 (f-1610),700Hz,
1541 ≤ f ≤ 1608,-75,1MHz,Averaged over any 2 millisecond active transmission interval
1608≤ f ≤ 1610,-75 + 5/2 (f-1608),1MHz,
1610≤ f ≤ 1627.5,-70+ 57/17.5 (f-1610),1MHz,
1627.5,-37,4kHz,
1638.5 ≤f ≤ 1645.5,-28,4kHz,
1657.5 ≤f ≤ 1660.5,-28,4kHz,
NOTE 1: The EIRP requirement in regulation is converted to conducted requirement using a 0 dBi antenna.,,,
