E-UTRA operating band combination,E-UTRA Band,"ΔRIB,c [dB]"
"CA_1-3-5-7, CA_1-3-3-5-7, CA_1-3-5-7-7",1,0
,3,0
,5,0
,7,0
CA_1-3-5-28,1,0
,3,0
,5,0.1
,28,0.2
CA_1-3-5-40,1,0
,3,0
,5,0
,40,0
CA_1-3-5-41,1,0
,3,0
,5,0
,41,06
,,0.57
"CA_1-3-7-8, CA_1-3-3-7-8, CA_1-3-7-7-8, CA_1-3-3-7-7-8",1,0
,3,0
,7,0
,8,0.2
"CA_1-3-7-20, CA_1-1-3-7-20, CA_1-3-3-7-20, CA_1-3-7-7-20",1,0
,3,0
,7,0
,20,0
"CA_1-3-7-26, CA_1-3-7-7-26",1,0
,3,0
,7,0
,26,0
"CA_1-3-7-28, CA_1-1-3-7-28, CA_1-1-3-3-7-28, CA_1-3-3-7-28, CA_1-3-7-7-28",1,0
,3,0
,7,0
,28,0.2
CA_1-3-7-32,1,0
,3,0
,7,0
,32,0
"CA_1-3-7-38, CA_1-1-3-7-38, CA_1-3-3-7-38",1,0
,3,0
,7,0
,38,0
"CA_1-3-7-40, CA_1-3-7-40-40",1,0
,3,0
,7,0.3
,40,0.8
CA_1-3-7-42,1,0.3
,3,0.3
,7,0.3
,42,0.5
CA_1-3-7-46,1,0
,3,0
,7,0
,46,0
CA_1-3-8-11,1,0
,3,0.3
,8,0
,11,0.5
CA_1-3-8-20,1,0
,3,0
,8,0
,20,0
CA_1-3-8-288,1,0
,3,0
,8,0.2
,28,0.2
CA_1-3-8-38CA_1-3-3-8-38,1,0
,3,0
,8,0
,38,0
CA_1-3-11-28,1,0
,3,0.3
,11,0.5
,28,0.2
CA_1-3-8-40,1,0
,3,0
,8,0
,40,0
"CA_1-3-8-41, CA_1-3-3-8-41, CA_1-3-8-41-41",1,0
,3,0
,8,0
,41,05
,,0.56
CA_1-3-8-42,1,0.2
,3,0.2
,8,0.2
,42,0.5
CA_1-3-18-42,1,0.2
,3,0.2
,18,0
,42,0.5
CA_1-3-19-21,1,0
,3,0.3
,19,0
,21,0.5
"CA_1-3-19-42, CA_1-3-3-19-21",1,0.2
,3,0.2
,19,0
,42,0.5
"CA_1-3-20-28, CA_1-1-3-20-28,CA_1-3-3-20-28",1,0
,3,0
,20,0.2
,28,0.2
CA_1-3-20-32,1,0
,3,0
,20,0
,32,0
CA_1-3-20-38,1,0
,3,0
,20,0
