E-UTRA Band / Channel bandwidth of the high band / NRB / Duplex mode,,,,,,,,
EUTRA CA Configuration,UL band,1.4 MHz,3 MHz,5 MHz,10 MHz,15 MHz,20 MHz,Duplex mode
CA_1A-28A,28,,,8,16,25,25,FDD
CA_1A-1A-28A,28,,,8,16,25,25,FDD
CA_2A-46A,46,,,,,,100,TDD
CA_2A-2A-46A,46,,,,,,100,TDD
CA_2A-71A,71,,,25,251,201,201,FDD
CA_2A-71A,2,,,25,50,50,50,FDD
CA_2A-2A-71A,71,,,25,50,50,50,FDD
CA_2A-48ACA_2A-48A-48ACA_2A-48A-48CCA_2A-48D,2,,,25,50,501,501,FDD
CA_3A-31A,31,,,5,5,5,5,FDD
CA_3A-42A,3,,,12,25,36,50,FDD
CA_3A-3A-42A,3,,,12,25,36,50,FDD
CA_3A-42A-42A,3,,,12,25,36,50,FDD
CA_4A-12A,12,2,5,8,16,20,20,FDD
CA_4A-17A,17,,,8,16,,,FDD
CA_4A-28A,28,,,8,16,25,25,FDD
CA_7A-8ACA_7A-8B,8,,,8,16,25,25,FDD
CA_8A-42A,8,,,8,16,25,25,FDD
CA_8A-48A,8,2,5,8,16,25,25,FDD
CA_11A-28A,28,,,12,25,,,FDD
CA_12A-66A,12,2,5,8,16,20,20,FDD
CA_20A-32A-42A,20,,,8,16,25,25,FDD
CA_20A-40A3CA_20A-40D3,40,,,25,50,75,100,TDD
CA_20A-40C3,40,,,25,50,75,,TDD
CA_20A-40A-40A3,40,,,25,50,75,,TDD
CA_20A-41ACA_20A-41CCA_20A-41D,20,,,8,16,25,25,FDD
"CA_20A-42A,CA_20A-42A-42A",20,,,8,16,25,25,FDD
CA_26A-38ACA_26A-38C,38,,,25,50,75,,TDD
CA_28A-32A,28,,,12,25,36,50,FDD
CA_28A-40A,40,,,25,50,75,100,TDD
CA_28A-42A,28,,,5,10,15,20,FDD
CA_28A-66A,28,,,8,16,25,25,FDD
CA_41A-106ACA_41C-106ACA_41A-41A-106A,106,2,5,,,,,FDD
CA_48A-66A,66,,,12,25,36,50,FDD
CA_48A-48A-66A,66,,,12,25,36,50,FDD
CA_48A-48A-66A-66A,66,,,12,25,36,50,FDD
CA_48A-48A-66B,66,,,12,25,36,50,FDD
CA_48A-48A-66C,66,,,12,25,36,50,FDD
CA_48C-66A-66A,66,,,12,25,36,50,FDD
CA_48C-66B,66,,,12,25,36,50,FDD
CA_48C-66C,66,,,12,25,36,50,FDD
CA_48A-66A-66A,66,,,121,251,361,501,FDD
CA_48A-66B,66,,,121,251,361,501,FDD
CA_48A-66C,66,,,121,251,361,501,FDD
CA_48C-66A,66,,,12,25,36,50,FDD
CA_48E-66A,66,,,12,25,36,50,FDD
CA_48A-106ACA_48C-106ACA_48A-48A-106A,106,2,5,,,,,FDD
CA_70A-71A,71,,,8,16,20,,FDD
CA_70C-71A,71,,,8,16,20,20,FDD
"NOTE 1:refers to the UL resource blocks, which shall be centred within the transmission bandwidth configuration for the channel bandwidth.NOTE 2:the UL configuration applies regardless of the channel bandwidth of the low band unless the UL resource blocks exceed that specified in Table 7.3.1-2 for the uplink bandwidth in which case the allocation according to Table 7.3.1-2 applies.NOTE 3:3 refers to the UL resource blocks shall be located between 2373-2400MHz.NOTE 4:These configurations apply when there is at least one individual RE within the uplink transmission bandwidth of a low band for which the 3rd transmitter harmonic is within the downlink transmission bandwidth of a high band.NOTE 5:These configurations apply when there is at least one individual RE within the uplink transmission bandwidth of a low band for which the 2nd transmitter harmonic is within the downlink transmission bandwidth of a high band.",,,,,,,,
