Channel bandwidth,,,,,,,,
EUTRA CA Configuration,EUTRA band,1.4 MHz(dBm),3 MHz(dBm),5 MHz(dBm),10 MHz(dBm),15 MHz(dBm),20 MHz(dBm),Duplex mode
CA_1A-3A4,39,,-95.7,-94,-91.5,-90,-89,FDD
CA_1A-3A5,3,,-98.7,-97,-94,-92.2,-91,FDD
CA_1A-1A-3A4,39,,,-94,-91.5,-90,-89,FDD
CA_1A-1A-3A5,3,,,-97,-94,-92.2,-91,FDD
CA_1A-1A-3A-3A4,39,,-95.7,-94,-91.5,-90,-89,FDD
CA_1A-1A-3A-3A5,3,,-98.7,-97,-94,-92.2,-91,FDD
CA_1A-3A-3A4,39,,,-94,-91.5,-90,-89,FDD
CA_1A-3A-3A5,3,,,-97,-94,-92.2,-91,FDD
CA_1A-3C4,39,,,-94,-91.5,-90,-89,FDD
CA_1A-3C5,3,,,-97,-94,-92.2,-91,FDD
CA_1A-1A-3C4,39,,,-94,-91.5,-90,-89,FDD
CA_1A-1A-3C5,3,,,-97,-94,-92.2,-91,FDD
CA_1C-3A4,39,,,-94,-91.5,-90,-89,FDD
CA_1C-3A5,3,,,-97,-94,-92.2,-91,FDD
CA_12A-71A,12,,,-93.2,-90.2,,,FDD
CA_12A-71A,71,,,-96.4,-93.4,,,FDD
CA_18A-28A6,28,,,-94,-92.5,,,FDD
CA_19A-28A7,28,,,-94,-92,,,FDD
"NOTE 1:The transmitter shall be set to PUMAX as defined in subclause 6.2.5A.NOTE 2:Reference measurement channel is A.3.2 with one sided dynamic OCNG Pattern OP.1 FDD/TDD as described in Annex A.5.1.1/A.5.2.1NOTE 3:The signal power is specified per portNOTE 4:These requirements apply when the uplink is active in Band 1 and the separation between the lower edge of the uplink channel in Band 1 and the upper edge of the downlink channel in Band 3 is < 60 MHz. For each channel bandwidth in Band 3, the requirement applies regardless of channel bandwidth in Band 1.NOTE 5:These requirements apply when the uplink is active in Band 1 and the separation between the lower edge of the uplink channel in Band 1 and the upper edge of the downlink channel in Band 3 is ≥ 60 MHz. For each channel bandwidth in Band 3, the requirement applies regardless of channel bandwidth in Band 1.NOTE 6:These requirements apply when the uplink is active in Band 18 and the downlink channels in Band 28 are confined within the restricted frequency range specified for this CA configuration (Table 5.5A-2). For each channel bandwidth in Band 28, the requirement applies regardless of channel bandwidth in Band 18.NOTE 7:These requirements apply when the uplink is active in Band 19 and the downlink channels in Band 28 are allocated at the middle of the restricted frequency range specified for this CA configuration (Table 5.5A-2). For each channel bandwidth in Band 28, the requirement applies regardless of channel bandwidth in Band 19.NOTE 8:VoidNOTE 9:Applicable for the operations with 2 or 4 antenna ports supported in the band with carrier aggregation configured.",,,,,,,,
