CA configuration,Aggregated channel bandwidth (PCC+SCC),Wgap / [MHz],UL PCC allocation,ΔRIBNC (dB),Duplex mode
CA_1A-1A,25RB + 25RB,0.0 < Wgap ≤ 50.0,251,0.5,FDD
,25RB + 50RB,0.0 < Wgap ≤ 45.0,251,0.5,
,25RB + 75RB,0.0 < Wgap ≤ 40.0,251,0.5,
,25RB + 100RB,0.0 < Wgap ≤ 35.0,251,0.5,
,50RB + 25RB,0.0 < Wgap ≤ 45.0,501,0.5,
,50RB + 50RB,0.0 < Wgap ≤ 40.0,501,0.5,
,50RB + 75RB,0.0 < Wgap ≤ 35.0,501,0.5,
,50RB + 100RB,0.0 < Wgap ≤ 30.0,501,0.5,
,75RB + 25RB,0.0 < Wgap ≤ 40.0,751,0.5,
,75RB + 50RB,0.0 < Wgap ≤ 35.0,751,0.5,
,75RB + 75RB,0.0 < Wgap ≤ 30.0,751,0.5,
,75RB + 100RB,0.0 < Wgap ≤ 25.0,751,0.5,
,100RB + 25RB,20.0 < Wgap ≤ 35.0,901,0.5,
,,0.0 < Wgap ≤ 20.0,1001,0.5,
,100RB + 50RB,15.0 < Wgap ≤ 30.0,901,0.5,
,,0.0 < Wgap ≤ 15.0,1001,0.5,
,100RB + 75RB,10.0 < Wgap ≤ 25.0,901,0.5,
,,0.0 < Wgap ≤ 10.0,1001,0.5,
,100RB + 100RB,5.0 < Wgap ≤ 20.0,901,0.5,
,,0.0 < Wgap ≤ 5.0,1001,0.5,
CA_2A-2A,25RB+25RB,30.0 < Wgap ≤ 50.0,121,5.3,FDD
,,0.0 < Wgap ≤ 30.0,251,0,
,25RB+50RB,25.0 < Wgap ≤ 45.0,121,4.4,
,,0.0 < Wgap ≤ 25.0,251,0,
,25RB+75RB,20.0 < Wgap ≤ 40.0,121,4.2,
,,0.0 < Wgap ≤ 20.0,251,0,
,25RB+100RB,15.0 < Wgap ≤ 35.0,121,3.8,
,,0.0 < Wgap ≤ 15.0,251,0,
,50RB+25RB,15.0 < Wgap ≤ 45.0,121,5.9,
,,0.0 < Wgap ≤ 15.0,321,0,
,50RB+50RB,10.0 < Wgap ≤ 40.0,121,4.6,
,,0.0 < Wgap ≤ 10.0,321,0,
,50RB+75RB,5.0 < Wgap ≤ 35.0,121,4.1,
,,0.0 < Wgap ≤ 5.0,321,0,
,50RB+100RB,0.0 < Wgap ≤ 30.0,121,4.0,
,75RB+25RB,10.0 < Wgap ≤ 40.0,1212,6.7,
,,0.0 < Wgap ≤ 10.0,361,0,
,75RB+50RB,5.0 < Wgap ≤ 35.0,1212,5.4,
,,0.0 < Wgap ≤ 5.0,361,0,
,75RB+75RB,0.0 < Wgap  ≤ 30.0,1212,4.6,
,75RB+100RB,0.0 < Wgap ≤ 25.0,1212,4.2,
,100RB+25RB,0.0 < Wgap ≤ 35.0,1613,7.2,
,100RB+50RB,0.0 < Wgap ≤ 30.0,1613,5.8,
,100RB+75RB,0.0 < Wgap ≤ 25.0,1613,5.0,
,100RB+100RB,0.0 < Wgap ≤ 20.0,1613,4.6,
CA_3A-3A,15RB+25RB,47.0 < Wgap ≤ 67.0,121,4.5,FDD
,,0.0 < Wgap ≤ 47.0,151,0,
,25RB+15RB,47.0 < Wgap ≤ 67.0,121,4.9,
,,0.0 < Wgap ≤ 47.0,251,0,
,25RB+25RB,45.0 < Wgap ≤ 65.0,121,4.7,
,,0.0 < Wgap ≤ 45.0,251,0,
,25RB+50RB,40.0 < Wgap ≤ 60.0,121,3.8,
,,0.0 < Wgap ≤ 40.0,251,0,
,25RB+75RB,35.0 < Wgap ≤ 55.0,121,3.6,
,,0.0 < Wgap ≤ 35.0,251,0,
,25RB+100RB,30.0 < Wgap ≤ 50.0,121,3.4,
,,0.0 < Wgap ≤ 30.0,251,0,
,50RB+25RB,30.0 < Wgap ≤ 60.0,129,5.1,
,,0.0 < Wgap ≤ 30.0,321,0,
,50RB+50RB,25.0 < Wgap ≤ 55.0,129,4.3,
,,0.0 < Wgap ≤ 25.0,321,0,
,50RB+75RB,20.0 < Wgap ≤ 50.0,129,3.8,
,,0.0 < Wgap ≤ 20.0,321,0,
,50RB+100RB,15.0 < Wgap ≤ 45.0,129,3.4,
,,0.0 < Wgap ≤ 15.0,321,0,
,75RB+25RB,25.0 < Wgap ≤ 55.0,1210,6.0,
,,0.0 < Wgap ≤ 25.0,321,0,
,75RB+50RB,20.0 < Wgap ≤ 50.0,1210,4.7,
,,0.0 < Wgap ≤ 20.0,321,0,
,75RB+75RB,15.0 < Wgap  ≤ 45.0,1210,4.2,
,,0.0 < Wgap ≤ 15.0,321,0,
,75RB+100RB,10.0 < Wgap ≤ 40.0,1210,3.8,
,,0.0 < Wgap ≤ 10.0,321,0,
,100RB+25RB,15.0 < Wgap ≤ 50.0,1611,6.5,
,,0.0 < Wgap ≤ 15.0,321,0,
,100RB+50RB,10.0 < Wgap ≤ 45.0,1611,5.1,
,,0.0 < Wgap  ≤ 10.0,321,0,
,100RB+75RB,5.0 < Wgap ≤ 40.0,1611,4.5,
