E-UTRA Band / Channel bandwidth / NRB / Duplex mode,,,,,,,
E-UTRA Band,1.4 MHz,3 MHz,5 MHz,10 MHz,15 MHz,20 MHz,Duplex Mode
1,,,24,24,24,24,FDD/HD-FDD
2,6,15,24,24,24,24,FDD/HD-FDD
3,6,15,24,24,24,24,FDD/HD-FDD
4,6,15,24,24,24,24,FDD/HD-FDD
5,6,15,24,24,,,FDD/HD-FDD
7,,,24,24,24,24,FDD/HD-FDD
8,6,15,24,24,,,FDD/HD-FDD
11,,,24,24,,,FDD/HD-FDD
12,6,15,201,201,,,FDD/HD-FDD
13,,,201,201,,,FDD/HD-FDD
14,,,151,151,,,FDD/HD-FDD
18,,,24,24,24,,FDD/HD-FDD
19,,,24,24,24,,FDD/HD-FDD
20,,,24,201,203,203,FDD/HD-FDD
21,,,24,241,241,,FDD/HD-FDD
24,,,24,241,,,FDD/HD-FDD
25,6,15,24,24,24,24,FDD/HD-FDD
26,6,15,24,24,24,,FDD/HD-FDD
27,6,15,24,24,,,FDD/HD-FDD
28,,15,24,24,24,24,FDD/HD-FDD
31,6,54,54,,,,FDD/HD-FDD
…,,,,,,,
39,,,,24,24,24,TDD
40,,,,24,24,24,TDD
41,,,,24,24,24,TDD
42,,,,24,24,24,TDD
43,,,,24,24,24,TDD
48,,,,24,24,24,TDD
…,,,,,,,
54,6,15,24,,,,TDD
…,,,,,,,
71,,,24,24,24,24,FDD/HD-FDD
72,6,54,54,,,,FDD/HD-FDD
73,6,54,54,,,,FDD/HD-FDD
85,,,201,201,,,FDD/HD-FDD
87,6,54,54,,,,FDD/HD-FDD
88,6,54,54,,,,FDD/HD-FDD
106,6,15,,,,,
111,6,101,101,101,,,FDD/HD-FDD
"NOTE 1:1 refers to the UL resource blocks shall be located as close as possible to the downlink operating band but confined within the transmission bandwidth configuration for the channel bandwidth (Table 5.6-1).NOTE 2:For the UE which supports both Band 11 and Band 21 the uplink configuration for reference sensitivity is FFS.NOTE 3:3 refers to Band 20; in the case of 15MHz channel bandwidth, the UL resource blocks shall be located at RBstart 11 and in the case of 20MHz channel bandwidth, the UL resource blocks shall be located at RBstart 16NOTE 4:4 refers to Bands 31, 72 and 73; in the case of 3 MHz channel bandwidth, the UL resource blocks shall be located at RBstart 9 and in the case of 5 MHz channel bandwidth, the UL resource blocks shall be located at RBstart 10.",,,,,,,
