Test num.,CA Band-width combination,Requirement,UE category
1,3x20MHz,As specified in Table 8.2.1.1.1-5 per CC,≥5
2,20MHz+20MHz+15MHz,As specified in Table 8.2.1.1.1-5 per CC,≥5
3,20MHz+20MHz+10MHz,As specified in Table 8.2.1.1.1-5 per CC,≥5
4,20MHz+15MHz+15MHz,As specified in Table 8.2.1.1.1-5 per CC,≥5
5,20MHz+15MHz+10MHz,As specified in Table 8.2.1.1.1-5 per CC,≥5
6,20MHz+10MHz+10MHz,As specified in Table 8.2.1.1.1-5 per CC,≥5
7,15MHz+15MHz+10MHz,As specified in Table 8.2.1.1.1-5 per CC,≥5
8,20MHz+10MHz+5MHz,As specified in Table 8.2.1.1.1-5 per CC,≥5
9,20MHz+15MHz+5MHz,As specified in Table 8.2.1.1.1-5 per CC,≥5
10,10MHz+10MHz+5MHz,As specified in Table 8.2.1.1.1-5 per CC,≥5
11,5MHz+5MHz+20MHz,As specified in Table 8.2.1.1.1-5 per CC,≥5
12,3x10MHz,As specified in Table 8.2.1.1.1-5 per CC,≥5
13,5MHz+5MHz+10MHz,As specified in Table 8.2.1.1.1-5 per CC,≥5
"NOTE 1:The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 8.1.2.3NOTE 2:30usec timing difference between PCell and any SCell, which is not within the same band or sub-block as PCell, is applied in inter-band CA case, where PCell can be assigned on any CC.",,,
