Test num,Bandwidth,Reference channel,OCNG pattern,Propa-gation condition,Correlation matrix and antenna config.,Reference value,
,,,,,,Fraction of maximumThroughput (%),SNR (dB)
1,2x20 MHz,R.30 FDD,OP.1 FDD (NOTE 1),EVA70,2x2 Low,70,13.2
2,15MHz +10MHz,R.35-2 FDD for 15MHz CC,OP.1 FDD (NOTE 1),EVA5,2x2 Low,70,15.1
,,R.35-3 FDD for 10MHz CC,OP.1 FDD (NOTE 1),,,70,15.1
3,20MHz +  10MHz,R.30 FDD for 20MHz CC,OP.1 FDD (NOTE 1),EVA70,2x2 Low,70,13.5
,,R.11 FDD for 10MHz CC,OP.1 FDD (NOTE 1),,,70,13.5
4,20MHz + 15MHz,R.30 FDD for 20MHz CC,OP.1 FDD (NOTE 1),EVA70,2x2 Low,70,13.5
,,R.30-1 FDD for 15MHz CC,OP.1 FDD (NOTE 1),,,70,13.5
5,2x20 MHz,R.35-1 FDD,OP.1 FDD (NOTE 1),EVA5,2x2 Low,70,15.8
6,20MHz + 10MHz,R.35-1 FDD for 20MHz CC,OP.1 FDD (NOTE 1),EVA5,2x2 Low,70,15.9
,,R.35-3 FDD for 10MHz CC,OP.1 FDD (NOTE 1),,,70,15.9
7,20MHz + 15MHz,R.35-1 FDD for 20MHz CC,OP.1 FDD (NOTE 1),EVA5,2x2 Low,70,15.9
,,R.35-2 FDD for 15MHz CC,OP.1 FDD (NOTE 1),,,70,15.9
"NOTE 1:For CA test cases, the OCNG pattern applies for each CC.NOTE 2:For Test 2, 3, 4, 6, 7 the Fraction of maximum Throughput applies to each CC.NOTE 3: The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 8.1.2.3.",,,,,,,
