Test num.,Band-width,Reference channel,OCNG pattern,Propa-gation condi-tion,Correlation matrix and antenna config.,Reference value,,UE cate-gory
,,,,,,Fraction of maximum throughput (%),SNR (dB),
1,2x10 MHz,R.14 FDD,OP.1 FDD (Note 1),EVA5,4x2 Low,70,10.8,≥3
2,2x20 MHz,R.14-3 FDD,OP.1 FDD (Note 1),EVA5,4x2 Low,70,10.9,≥5
3,2x5 MHz,R.14-6 FDD,OP.1 FDD (Note 1),EVA5,4x2 Low,70,9.5,≥2
,,,OP.1 FDD (Note 1),,,70,9.5,
4,10MHz+5MHz,R.14 FDD for 10MHz CC,OP.1 FDD (Note 1),EVA5,4x2 Low,70,10.1,≥3
,,R.14-6 FDD for 5MHz CC,OP.1 FDD (Note 1),,,70,9.5,
5,15MHz+5MHz,R.14-7 FDD for 15MHz CC,OP.1 FDD (Note 1),EVA5,4x2 Low,70,10.1,≥3
,,R.14-6 FDD for 5MHz CC,OP.1 FDD (Note 1),,,70,9.5,
NOTE 1:The OCNG pattern applies for each CC.NOTE 2: The applicability of requirements for different CA configurations and bandwidth combination sets is defined in 8.1.2.3.,,,,,,,,
