Test,Bandwidth (MHz),Transmission mode,Antenna configuration,Codebook subset restriction,Downlink power allocation (dB),,,at antenna port (dBm/15kHz),Symbols for unused PRBs
,,,,,,,,,
1,10,1,1 x 2,N/A,0,0,0,-85,OP.6 FDD
1A,10,1,1x1,N/A,0,0,0,-85,OP.6 FDD
1B,20,1,1x1,N/A,0,0,0,-85,OP.6 FDD
2,10,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
"3,4,6",20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
3A,10,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
"3B, 4A",2x10,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
"3C, 4B",15,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
6A,2x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
6B,10+15,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
6C,10+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
6D,15+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
6E,2x15,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
6F,15+5,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
6G,20+5,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
7,3x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
7A,15+20+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
7B,10+20+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
7C,15+15+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
7D,10+15+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
7E,10+10+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
7F,10+15+15,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
7G,5+10+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
7H,5+15+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
7I,5+10+10,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
7J,5+5+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
7K,3x10,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
7L,5+5+10,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
8,4x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
8A,20+20+20+10,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
8B,20+20+10+10,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
8C,20+20+10+5,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
8D,20+10+10+5,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
8E,15+3x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
8F,2x15+2x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
8G,10+15+2x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
8H,3x10+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
8I,2x5+2x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
8J,2x5+10+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
8K,4x10,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
9,5x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
9A,15+4x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
9B,10+4x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
9C,2x10+3x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
9D,5+10+3x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
9E,3x10+2x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
9F,4x10+20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
10,6x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
11,7x20,3,2 x 2,10,-3,-3,0,-85,OP.1 FDD
"NOTE 1:For CA test cases, PUCCH format 1b with channel selection is used to feedback ACK/NACK for Test 1-6E, and PUCCH format 3 is used to feedback ACK/NACK for Test 7-7G.",,,,,,,,,
