CA config,Maximum supported Bandwidth/ Bandwidth combination (MHz),"Cat. 11, 12",DL Cat. 13,DL Cat. 15,DL Cat. 16,,
,,"DL Cat. 11, 12",,,,,
Single carrier,20,-,1,-,-,,
CA with 2CCs,2x15,2,2,-,-,,
,15+5,2A,2A,-,-,,
,10+15,3,3,-,-,,
,20+5,3A,3A,-,-,,
,10+20,4,4,-,-,,
,15+20,6,6,-,-,,
,20+20,7,7,-,-,,
CA with 3CCs,3x20,8,7,8,-,,
,15+20+20,9,7,9,-,,
,10+20+20,10,7,10,-,,
,15+15+20,11,6,11,-,,
,10+15+20,12,6,12,-,,
,10+10+20,13,13,13,-,,
,10+15+15,14,14,14,-,,
,5+10+20,15,15,15,-,,
,5+15+20,15A,15A,15A,-,,
,5+10+10,15B,15B,15B,-,,
,5+5+20,15C,15C,15C,,,
,3x10,15D,15D,15D,,,
,5+5+10,15E,15E,15E,,,
CA with 4CCs,4x20,8,-,16,16,,
,20+20+20+10,8,-,17,17,,
,20+20+10+10,18,-,18,18,,
,20+20+10+5,18A,-,18A,18A,,
,20+10+10+5,18B,-,18B,18B,,
,15+3x20,18C,,18C,18C,,
,2x15+2x20,18D,,18D,18D,,
,10+15+2x20,18E,,18E,18E,,
,3x10+20,18F,,18F,18F,,
,2x5+2x20,18G,,18G,18G,,
,2x5+10+20,18H,,18H,18H,,
,4x10,18I,,18I,18I,,
CA with 5CCs,5x20,-,-,16,19,,
,15+4x20,,,,20,,
,10+4x20,,,,21,,
,2x10+3x20,,,,22,,
,5+10+3x20,,,,23,,
,3x10+2x20,,,,24,,
,4x10+20,,,,25,,
CA with 6CCs,6x20,-,-,-,20,,
CA with 7CCs,7x20,-,-,-,21,,
"NOTE 1:If DL category is signalled by the UE under test, then select the test point according to UE DL Category. Otherwise, select the test point according to the UE category signalled.",,,,,,,
