Parameter,,Unit,Test 1
Downlink power allocation,,dB,0
,,dB,0 (Note 1)
,,dB,-3
Uplink downlink configuration,,,1
Special subframe configuration,,,4
Cell-specific reference signals,,,"Antenna ports 0,1"
CSI reference signals,,,"Antenna ports 15,…,22"
Beamforming model,,,"Annex B.4.3(Note 3, 4)"
CSI-RS periodicity and subframe offsetTCSI-RS / ∆CSI-RS,,Subframes,5 / 4
CSI reference signal configuration,,,3
Zero-power CSI-RS configurationICSI-RS / ZeroPowerCSI-RS bitmap,,Subframes / bitmap,4 /0010000000000000
at antenna port,,dBm/15kHz,-98
Symbols for unused PRBs,,,OP.1 TDD
Cyclic prefix,,,Normal
Cell ID,,,0
Inter-TTI Distance,,,1
Number of HARQ processes per component carrier,,Processes,7
Maximum number of HARQ transmission,,,4
Redundancy version coding sequence,,,"{0,0,1,2} for 64QAM and 256QAM"
Number of allocated resource blocks (Note 2),,PRB,50
Number of OFDM symbols for PDCCH per component carrier,,OFDM symbols,1
Propagation condition,,,Static propagation conditionNo external noise sources are applied
Simultaneous transmission,,,No
PDSCH transmission mode,,,9
Precoding granularity,,,50
PMI delay,,,10 or 11
Reporting interval,,,1 or 4
Reporting mode,,,PUSCH 3-1
alternativeCodeBookEnabledFor4TX-r12,,,False
CodeBookSubsetRestriction bitmap,,,0x0000 0000 0000 0010 0000 0000 0000
"Note 1:.Note 2:50 resource blocks are allocated in sub-frames 4,9 and 41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in sub-frame 0 and the DwPTS portion of sub-frames 1,6.Note 3:The precoder in clause B.4.3 follows UE recommended PMI.Note 4:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).",,,
