Parameter,,,Unit,,Test 1,
Downlink power allocation,,,dB,,-3,
,,,dB,,-3 (Note 1),
,,,dB,,0,
,δ,,dB,,3,
at antenna port,,,dBm/15kHz,,-98,
Precoding granularity,,,PRB,,6,
PMI delay (Note 2),,,ms,,10,
Reporting interval,,,ms,,10,
Reporting mode,,,,,PUCCH 1-1,
Physical channel for CQI reporting,,,,,PUSCH(Note4),
cqi-pmi-ConfigIndex,,,,,12,
CodeBookSubsetRestriction bitmap,,,,,001111,
PDSCH transmission mode,,,,,6,
Coverage enhancement mode,,,,,CE Mode A,
OFDM starting symbol (startSymbolBR),,,,,2,
Maximum number of repetitions(mpdcch-NumRepetition),,,,,1,
Frequency hopping(mpdcch-pdsch-HoppingConfig),,,,,Disabled,
MPDCCH transmission duration,,,ms,,1,
Starting subframe configuration for MPDCCH(mpdcch_startSF_UESS),,,,,1,
Narrowband for MPDCCH(mpdcch_Narrowband),,,,,1,
"Note 1:.Note 2:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), This reported PMI cannot be applied at the eNB downlink before SF#(n+4).Note 3:For each test, DC subcarrier puncturing shall be considered.Note 4:To avoid collisions between CQI reports and HARQ-ACK it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 6-0A shall be transmitted in downlink SF#1 to allow periodic CQI to multiplex with the HARQ-ACK on PUSCH in uplink subframe SF#5.Note 5:If not otherwise stated, the values in this table refer to parameters in TS 36.211 [4] or/and TS 36.213 [6] as appropriate.",,,,,,
