Parameter,,Unit,Transmit diversity
Uplink downlink configuration (Note 1),,,1
Special subframe configuration (Note 2),,,4
Downlink power allocation,PBCH_RA,dB,-3
,PBCH_RB,dB,-3
at antenna port,,dBm/15kHz,-98
Cyclic prefix,,,Normal
Cell ID,,,0
Repetition of the physical broadcast channel (Note 3),,,Enabled
Cyclic prefix,,,Normal
Note 1:as specified in Table 4.2-2 in TS 36.211 [4].Note 2:as specified in Table 4.2-1 in TS 36.211 [4].Note 3:as specified in Table 6.6.4-2 in TS 36.211 [4].,,,
