Parameter,,Unit,Value
Downlink power allocation,,dB,-6
,,dB,-6 (Note 1)
,,dB,3
at antenna port,,dBm/15kHz,-98
Precoding granularity,,PRB,"Wideband precoding for 1.4MHz, 4 for 3MHz and 5MHz CCs, 6 for 10MHz CCs, 8 for 15MHz and 20MHz CCs"
PMI delay (Note 2),FDD CC,ms,8
,TDD CC,ms,10 or 11
Reporting interval,FDD CC,ms,1
,TDD CC,ms,1 or 4 (Note 3)
Reporting mode,,,PUSCH 1-2
CodeBookSubsetRestriction bitmap,,,0000000000000000000000000000000011111111111111110000000000000000
CSI request field (Note 3),,,‘10’
PDSCH transmission mode,,,4
ACK/NACK transmission,,,Separate ACK/NACK feedbacks with PUCCH format 1b on the MCG and SCG
CSI feedback,,,Separate PUSCH feedbacks on the MCG and SCG
Time offset between MCG CC and SCG CC,,μs,0 for UE under test supporting synchronous dual connectivity;334 for UE under test supporting both asynchronous and synchrounous dual connectivity (Note 6)
"Note 1:.Note 2:If the UE reports in an available uplink reporting instance at subrame SF#n based on PMI estimation at a downlink SF not later than SF#(n-4), this reported PMI cannot be applied at the eNB downlink before SF#(n+4).Note 3:Multiple CC-s under test are configured as the 1st set of serving cells by higher layers.Note 4:ACK/NACK bits are transmitted using PUSCH with PUCCH format 3.Note 5:The same PDSCH transmission mode is applied to each component carrier.Note 6:As defined in TS36.300 [11].Note 7: If the UE supports both SCG bearer and Split bearer, the SCG bearer is configured.",,,
