Parameter,,Unit,Test 1,Test 2
Number of PDCCH symbols,,symbols,2,2
Unused RE-s and PRB-s,,,OCNG,OCNG
Cell ID,,,0,0
Downlink power allocation,,dB,-6,-3
,,dB,-6,-3
,,dB,0,0
,δ,dB,N/A,3
at antenna port,,dBm/15kHz,-98,-98
Cyclic prefix,,,Normal,Normal
Subframe configuration,,,Non-MBSFN,Non-MBSFN
Precoder update granularity,,SREG,N/A,2
,,ms,N/A,1
Beamforming precoder,,,N/A,Annex B.4.4
Cell specific reference signal,,,"Antenna ports 0,1,2,3","Antenna ports 0,1"
Configured SPDCCH-PRB sets,,,{Set 1},{Set 2}
SPDCCH-PRB set used for DCI transmission,,,Set 1,Set 2
PDSCH transmission mode,,,TM4,TM9
DCI format,,,7-1C,7-1F
TDD UL/DL Configuration,,,0,0
TDD Special Subframe,,,1,1
"Note 1: For slot-based transmission, DCI 7-1C and 7-1F are transmitted only on SPDCCH in slot 1. For subslot-based transmission, DCI 7-1C and 7-1F are transmitted on SPDCCH in all the subslots.",,,,
