Parameter,,Unit,Test 1,,,Test 2,,
,,,Cell 1,,Cell 2,Cell 1,,Cell 2
Bandwidth,,MHz,10,,,10,,
PDSCH transmission mode,,,2,,Note 10,2,,Note 10
Uplink downlink configuration,,,1,,,1,,
Special subframe configuration,,,4,,,4,,
Downlink power allocation,,dB,-3,,,-3,,
,,dB,-3,,,-3,,
,,dB,0,,,0,,
Propagation condition and antenna configuration,,,Clause B.1 (2x2),,,Clause B.1 (2x2),,
(Note 1),,dB,4,5,6,4,5,-12
at antenna port,,dBm/15kHz,-102 (Note 7),,N/A,-98 (Note 7),,N/A
,,dBm/15kHz,-98 (Note 8),,N/A,-98 (Note 8),,N/A
,,dBm/15kHz,-94.8 (Note 9),,N/A,-98 (Note 9),,N/A
,,dB[mW/15kHz],-94,-93,-92,-94,-93,-110
Subframe Configuration,,,Non-MBSFN,,Non-MBSFN,Non-MBSFN,,Non-MBSFN
Cell Id,,,0,,1,0,,1
Time Offset between Cells,,s,2.5 (synchronous cells),,,2.5 (synchronous cells),,
ABS pattern (Note 2),,,N/A,,01000100010100010001,N/A,,01000100010100010001
RLM/RRM Measurement Subframe Pattern (Note 4),,,00000000010000000001,,N/A,00000000010000000001,,N/A
CSI Subframe Sets (Note 3),"CCSI,0",,01000100010100010001,,N/A,01000100010100010001,,N.A
,"CCSI,1",,10001010001000101000,,N/A,10001010001000101000,,N/A
Number of control OFDM symbols,,,3,,,3,,
Max number of HARQ transmissions,,,1,,,1,,
"Physical channel for CCSI,0 CQI reporting",,,PUCCH Format 2,,,PUCCH Format 2,,
"Physical channel for CCSI,1 CQI reporting",,,PUSCH (Note 12),,,PUSCH,,
PUCCH Report Type,,,4,,,4,,
Reporting periodicity,,ms,Npd = 5,,,Npd = 5,,
"cqi-pmi-ConfigurationIndexCCSI,0 (Note 13)",,,3,,N/A,3,,N/A
"cqi-pmi-ConfigurationIndex2 CCSI,1 (Note 14)",,,4,,N/A,4,,N/A
ACK/NACK feedback mode,,,Multiplexing,,,Multiplexing,,
"Note 1:For each test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.Note 2:ABS pattern as defined in [9].Note 3:Time-domain measurement resource restriction pattern for PCell measurements as defined in [7]Note 4:As configured according to the time-domain measurement resource restriction pattern for CSI measurements defined in [7].Note 5:Time-domain measurement resource restriction pattern for PCell measurements as defined in [7]Note 6:Cell 1 is the serving cell. Cell 2 is the aggressor cell. The number of the CRS ports in Cell1 and Cell2 is the same.Note 7:This noise is applied in OFDM symbols #1, #2, #3, #5, #6, #8, #9, #10,#12, #13 of a subframe overlapping with the aggressor ABS.Note 8:This noise is applied in OFDM symbols #0, #4, #7, #11 of a subframe overlapping  with the aggressor ABSNote 9:This noise is applied in all OFDM symbols of a subframe overlapping with aggressor non-ABS.Note 10:Downlink physical channel setup in Cell 2 in accordance with Annex C.3.3 applying OCNG pattern as defined in Annex A.5.2.5Note 11:Reference measurement channel in Cell 1 RC.2 TDD according to Table A.4-1 for UE Category ≥2 with one sided dynamic OCNG Pattern OP.1 TDD as described in Annex A.5.2.1, and RC.6 TDD according to Table A.4-1 for Category 1 with one/two sided dynami OCNG Pattern OP.1/2 TDD as described in Annex A.5.2.1 and Annex A.5.2.2.Note 12:To avoid collisions between HARQ-ACK and wideband CQI it is necessary to report both on PUSCH instead of PUCCH. PDCCH DCI format 0 shall be transmitted in downlink SF#4 and #9 to allow periodic CQI to multiplex with the HARQ-ACK on PUSCH in uplink subframe SF#8 and #3.Note 13:cqi-pmi-ConfigurationIndex is applied for CCSI,0.Note 14:cqi-pmi-ConfigurationIndex2 is applied for CCSI,1.",,,,,,,,
