Parameter,,,Unit,Test 1,Test 2
Bandwidth,,,MHz,20 MHz,
Transmission mode,,,,9,
Downlink power allocation,,,dB,0,
,,,dB,0,
,,,dB,0,
,,,dB,0,
SNR in subframes with 6 dB power boost (Note 3),,,dB,9,10
SNR in subframes with 0 dB power boost (Note 3),,,,3,4
in subframes with 6 dB power,,,,-89,-88
in subframes with 0 dB power,,,dB[mW/15kHz],-95,-94
,,,dB[mW/15kHz],-98,-98
MBSFN subframe Configuration,,,,Non-MBSFN,
Cell Id,,,,0,
dmtc-Periodicity,,,ms,80,
dmtc-Offset,,,,0,
Propagation condition and antenna configuration,,,,Clause B.1 (2x2),
Beamforming Model,,,,As specified in Section B.4.3,
CRS reference signals,,,,Antenna ports 0,
CSI reference signals,,,,"Antenna ports 15, 16",
CSI-RS periodicity and subframe offsetTCSI-RS / ∆CSI-RS,,,,5/ 1,
CSI-RS reference signal configuration,,,,4,
CodeBookSubsetRestriction bitmap,,,,000001,
Number of control OFDM symbols,,,,3,
Max number of HARQ transmissions,,,,1,
Reporting mode,,,,PUSCH 3-1,
PDSCH transmission model,Basic model,,,As specified in Section B.8,
,subframeStartPosition,,,s0,
,Number of occupied symbols per subframe,,,14,
,The number of subframes set () per burstS1,,,"{3, 8}",
,Random variable p defined in B.8,,,0.5,
,Power configuration for each burst,,,is randomly selected from 6 dB power boosting or 0 dB power boosting with equal probability,
"Note 1:If the UE reports in an available uplink reporting instance at subframe SF#n based on CQI estimation at a downlink subframe not later than SF#(n-4), this reported subband or wideband CQI cannot be applied at the eNB downlink before SF#(n+4)Note 2:Reference measurement channel RC.9A FDD according to Table A.4-1 with one/two sided dynamic OCNG Pattern OP.1/2 FS3 as described in Annex A.5.4.1/2.Note 3:For each test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.",,,,,
