Parameter,,Unit,Test 1,,Test 2,
Bandwidth,,MHz,10MHz,,,
PDSCH resource allocation,,RB,50PRB,,"a subband, 6PRB",
Transmission mode,,,TM6,,TM9,
Downlink power allocation,,dB,-6,,0,
,,dB,-6,,0,
,,dB,-,,-3,
,,dB,3,,-3,
SNR (Note 3),,dB,0,1,5,6
,,dB[mW/15kHz],-98,-97,-93,-92
,,dB[mW/15kHz],-98,-98,-98,-98
Propagation channel,,,EVA5,,EVA5,
Antenna configuration,,,4x2 ULA low,,4x2 XP high (Note 4),
Beamforming Model,,,-,,B.4.3,
CRS reference signals,,,"Antenna ports 0, 1, 2, 3",,"Antenna ports 0, 1",
Time offset between TX antenna (Note 5),,ns,65,,-,
CSI reference signals,,,,,"Antenna ports 15, 16, 17, 18",
CSI-RS periodicity and subframe offsetTCSI-RS / ∆CSI-RS,,,-,,5/ 1,
CSI-RS reference signal configuration,,,-,,4,
alternativeCodebookEnabledFor4TX,,,No,,Yes,
CodeBookSubsetRestriction bitmap,,,0x0000 0000 0000 FFFF,,0x0000 0000 0000 FFFF 0000 FFFF,
Reporting interval (Note 6),,ms,5,,5,
CQI delay,,ms,8,,8,
Reporting mode,,,"PUSCH 3-2, PUSCH 3-1",,"PUSCH 3-2, PUSCH 1-2",
Sub-band size,,RB,6 (full size),,6 (full size),
Max number of HARQ transmissions,,,1,,1,
"Note 1:If the UE reports in an available uplink reporting instance at subframe SF#n based on CQI estimation at a downlink subframe not later than SF#(n-4), this reported subband or wideband CQI cannot be applied at the eNB downlink before SF#(n+4)Note 2:Reference measurement channel RC.17 FDD / RC.18 FDD for Test 1 / 2 according to Table A.4-1 with one/two sided dynamic OCNG Pattern OP.1/2 FDD as described in Annex A.5.1.1/2.Note 3:For each test, the minimum requirements shall be fulfilled for at least one of the two SNR(s) and the respective wanted signal input level.Note 4:Randomization of the principle beam direction shall be used as specified in B.2.3A.4.Note 5:The values of time offset are [0ns 65ns 0ns 65ns] for antenna port [0, 1, 2, 3] respectively.Note 6:PDCCH DCI format 0 with a trigger for aperiodic CQI shall be transmitted in downlink SF#1 and #6 to allow aperiodic CQI/PMI/RI to be transmitted in uplink SF#0 and #5.",,,,,,
