Parameter,,,Unit,Test 1
Discovery resource pool configuration,,,,As specified in Table A.7.1.2-1(Configuration #1-TDD)
DRX configuration,,,,As specified in Table 11.1.2-1
at antenna port (NOTE 5),,,dBm/15kHz,-98
Active cell(s),,,,Cell 1 (Serving cell)
Cell 1,Cyclic prefix,,,Normal
,Uplink downlink configuration (NOTE 3),,,0
,Special subframe configuration (NOTE 4),,,4
,Cell ID,,,0
,Downlink power allocation,,dB,0
,,,dB,0 (NOTE 1)
,,,dB,0
,OCNG Pattern NOTE 2,,,OP.1 TDD
,Propagation channel,,,AWGN
,Antenna configuration,,,1x2
,RSRP,,dBm/15kHz,-92
Active Sidelink UE(s),,,,Sidelink UE 1
Sidelink UE 1,Sidelink Transmissions,,,PSDCH
,RB allocation,,,"PRB pairs {2i..2i+1}, where i is chosen randomly uniformly from [0,11] in each discovery period."
,Time offset (NOTE 6),,s,+1
,Frequency offset (NOTE 7),,Hz,+200
,Propagation Channel,,,EPA5
,Antenna configuration,,,1x2 Low
NOTE 1:.NOTE 2:OCNG is used to fully allocate the available resource blocks to virtual UEs.NOTE 3:As specified in Table 4.2-2 in TS 36.211 [4].NOTE 4:As specified in Table 4.2-1 in TS 36.211 [4].NOTE 5: Applicable to both DL subframes and UL subframes configured for ProSe Direct Discovery.NOTE 6: Time offset of Sidelink UE receive signal with respect to Cell 1 downlink timing at the tested UE.NOTE 7: Frequency offset of Sidelink UE with respect to Cell 1 uplink frequency.,,,,
