Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,6,15,25,50,75,100
Uplink-Downlink Configuration (Note 2),,0,0,0,0,0,0
DFT-OFDM Symbols per Sub-Frame,,12,12,12,12,12,12
Modulation,,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Target Coding rate,,1/3,1/3,1/3,1/3,1/5,1/6
Payload size,,,,,,,
"For Sub-Frame 2,3,4,7,8,9",Bits,600,1544,2216,5160,4392,4584
Transport block CRC,Bits,24,24,24,24,24,24
Number of code blocks per Sub-Frame (Note 1),,1,1,1,1,1,1
Total number of bits per Sub-Frame,,,,,,,
"For Sub-Frame 2,3,4,7,8,9",Bits,1728,4320,7200,14400,21600,28800
Total symbols per Sub-Frame,,,,,,,
"For Sub-Frame 2,3,4,7,8,9",,864,2160,3600,7200,10800,14400
UE Category,,≥ 1,≥ 1,≥ 1,≥ 1,≥ 1,≥ 1
"Note 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)Note 2:As per Table 4.2-2 in TS 36.211 [4]",,,,,,,
