Parameter,Ch BW,Allocated RBs,UDL Configuration (Note 2),DFT-OFDM Symbols per Sub-Frame,Mod’n,Target Coding rate,"Payload size for Sub-Frame 2, 3, 7, 8",Transport block CRC,Number of code blocks per Sub-Frame (Note 1),"Total number of bits per Sub-Frame for Sub-Frame 2, 3, 7, 8","Total symbols per Sub-Frame for Sub-Frame 2, 3, 7, 8",UE UL Category
Unit,MHz,,,,,,Bits,Bits,,Bits,,
,1.4 - 20,1,1,12,QPSK,1/3,72,24,1,288,144,0
,1.4 - 20,2,1,12,QPSK,1/3,176,24,1,576,288,0
,1.4 - 20,3,1,12,QPSK,1/3,256,24,1,864,432,0
,1.4 - 20,4,1,12,QPSK,1/3,392,24,1,1152,576,0
,1.4 - 20,5,1,12,QPSK,1/3,424,24,1,1440,720,0
,3-20,6,1,12,QPSK,1/3,600,24,1,1728,864,0
,3-20,8,1,12,QPSK,1/3,808,24,1,2304,1152,0
,3-20,9,1,12,QPSK,1/3,776,24,1,2592,1296,0
,3-20,10,1,12,QPSK,1/3,872,24,1,2880,1440,0
,3-20,12,1,12,QPSK,1/4,840,24,1,3456,1728,0
,5-20,15,1,12,QPSK,1/5,872,24,1,4320,2160,0
,5-20,16,1,12,QPSK,1/5,904,24,1,4608,2304,0
,5-20,18,1,12,QPSK,1/6,776,24,1,5184,2592,0
,5-20,20,1,12,QPSK,1/6,872,24,1,5760,2880,0
,5-20,24,1,12,QPSK,1/8,872,24,1,6912,3456,0
,10-20,25,1,12,QPSK,1/8,904,24,1,7200,3600,0
,10-20,27,1,12,QPSK,1/8,968,24,1,7776,3888,0
,10-20,30,1,12,QPSK,1/10,808,24,1,8640,4320,0
"Note 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)Note 2:As per Table 4.2-2 in TS 36.211 [4]",,,,,,,,,,,,
