Parameter,Ch BW,Allocated RBs,UDL Configuration (Note 2),DFT-OFDM Symbols per Sub-Frame,Mod’n,Target Coding rate,"Payload size for Sub-Frame 2, 3, 4, 7, 8, 9",Transport block CRC,Number of code blocks per Sub-Frame (Note 1),"Total number of bits per Sub-Frame for Sub-Frame 2, 3, 4, 7, 8, 9","Total symbols per Sub-Frame for Sub-Frame 2, 3, 4, 7, 8, 9",UE Category
Unit,MHz,,,,,,Bits,Bits,,Bits,,
,1.4-20,1,0,12,16QAM,3/4,408,24,1,576,144,≥ 1
,1.4-20,2,0,12,16QAM,3/4,840,24,1,1152,288,≥ 1
,1.4-20,3,0,12,16QAM,3/4,1288,24,1,1728,432,≥ 1
,1.4-20,4,0,12,16QAM,3/4,1736,24,1,2304,576,≥ 1
,1.4-20,5,0,12,16QAM,3/4,2152,24,1,2880,720,≥ 1
,3-20,6,0,12,16QAM,3/4,2600,24,1,3456,864,≥ 1
,3-20,8,0,12,16QAM,3/4,3496,24,1,4608,1152,≥ 1
,3-20,9,0,12,16QAM,3/4,3880,24,1,5184,1296,≥ 1
,3-20,10,0,12,16QAM,3/4,4264,24,1,5760,1440,≥ 1
,3-20,12,0,12,16QAM,3/4,5160,24,1,6912,1728,≥ 1
,5-20,15,0,12,16QAM,1/2,4264,24,1,8640,2160,≥ 1
,5-20,16,0,12,16QAM,1/2,4584,24,1,9216,2304,≥ 1
,5-20,18,0,12,16QAM,1/2,5160,24,1,10368,2592,≥ 1
,5-20,20,0,12,16QAM,1/3,4008,24,1,11520,2880,≥ 1
,5-20,24,0,12,16QAM,1/3,4776,24,1,13824,3456,≥ 1
,10-20,25,0,12,16QAM,1/3,4968,24,1,14400,3600,≥ 1
,10-20,27,0,12,16QAM,1/3,4776,24,1,15552,3888,≥ 1
,10-20,30,0,12,16QAM,3/4,12960,24,3,17280,4320,≥ 2
,10-20,32,0,12,16QAM,3/4,13536,24,3,18432,4608,≥ 2
,10-20,36,0,12,16QAM,3/4,15264,24,3,20736,5184,≥ 2
,10-20,40,0,12,16QAM,3/4,16992,24,3,23040,5760,≥ 2
,10-20,45,0,12,16QAM,3/4,19080,24,4,25920,6480,≥ 2
,10-20,48,0,12,16QAM,3/4,20616,24,4,27648,6912,≥ 2
,15-20,50,0,12,16QAM,3/4,21384,24,4,28800,7200,≥ 2
,15-20,54,0,12,16QAM,3/4,22920,24,4,31104,7776,≥ 2
,15-20,60,0,12,16QAM,2/3,23688,24,4,34560,8640,≥ 2
,15-20,64,0,12,16QAM,2/3,25456,24,4,36864,9216,≥ 2
,15-20,72,0,12,16QAM,1/2,20616,24,4,41472,10368,≥ 2
,20,75,0,12,16QAM,1/2,21384,24,4,43200,10800,≥ 2
,20,80,0,12,16QAM,1/2,22920,24,4,46080,11520,≥ 2
,20,81,0,12,16QAM,1/2,22920,24,4,46656,11664,≥ 2
,20,90,0,12,16QAM,2/5,20616,24,4,51840,12960,≥ 2
,20,96,0,12,16QAM,2/5,22152,24,4,55296,13824,≥ 2
"Note 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)Note 2:As per Table 4.2-2 in TS 36.211 [4]",,,,,,,,,,,,
