Parameter,Ch BW,Allocated RBs,DFT-OFDM Symbols per Sub-Frame,Mod’n,Target Coding rate,Payload size,Transport block CRC,Number of code blocks per Sub-Frame (Note 1),Total number of bits per Sub-Frame,Total symbols per Sub-Frame,UE Category(Note 2),UE UL Category(Note 2)
Unit,MHz,,,,,Bits,Bits,,Bits,,,
,10 - 20,10,12,64QAM,3/4,6200,24,2,8640,1440,"5,8","5, 8, 13, 14"
,10 - 20,20,12,64QAM,3/4,12576,24,3,17280,2880,"5,8","5, 8, 13, 14"
,10 - 20,30,12,64QAM,3/4,19080,24,4,25920,4320,"5,8","5, 8, 13, 14"
,10 - 20,40,12,64QAM,3/4,25456,24,5,34560,5760,"5,8","5, 8, 13, 14"
,20,50,12,64QAM,3/4,31704,24,6,43200,7200,"5,8","5, 8, 13, 14"
,20,60,12,64QAM,3/4,37888,24,7,51840,8640,"5,8","5, 8, 13, 14"
,20,70,12,64QAM,3/4,43816,24,4,60480,10080,"5,8","5, 8, 13, 14"
,20,80,12,64QAM,3/4,51024,24,9,69120,11520,"5,8","5, 8, 13, 14"
,20,90,12,64QAM,2/3,51024,24,9,77760,12960,"5,8","5, 8, 13, 14"
"Note 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)Note 2:If UE does not report UE UL category, then the applicability of reference channel is determined by UE category. If UE reports UE UL category, then the applicability of reference channel is determined by UE UL categoryNote 3:For the channel bandwidth of 10Mhz, the allocated RBs are distributed over the channel bandwidth at the RB index = {N, N+5, N+10, …, N+45 for N = 0, …, NInterlace-1 } where NInterlace is 1, …, 4 for the allocated RBs of 10, …, 40, respectively.Note 4: For the channel bandwidth of 20Mhz, the allocated RBs are distributed over the channel bandwidth at the RB index = {N, N+10, N+20, …, N+90 for N = 0, …, NInterlace-1 } where NInterlace is 1, .., 9 for the allocated RBs of 10, …, 90, respectively.",,,,,,,,,,,,
