Duplex,Table,Name,BW,Mod,TCR,RB,RBOffset,UE Categ,Notes
UE Categories ≥ 3,,,,,,,,,
FDD,Table A.3.2-3,,1.4,64QAM,3/4,6,,-,
FDD,Table A.3.2-3,,3,64QAM,3/4,15,,-,
FDD,Table A.3.2-3,,5,64QAM,3/4,25,,-,
FDD,Table A.3.2-3,,10,64QAM,3/4,50,,-,
FDD,Table A.3.2-3,,15,64QAM,3/4,75,,-,
FDD,Table A.3.2-3,,20,64QAM,3/4,100,,-,
UE Category 1,,,,,,,,,
FDD,Table A.3.2-3a,,1.4,64QAM,3/4,6,,-,
FDD,Table A.3.2-3a,,3,64QAM,3/4,15,,-,
FDD,Table A.3.2-3a,,5,64QAM,3/4,18,,-,
FDD,Table A.3.2-3a,,10,64QAM,3/4,17,,-,
FDD,Table A.3.2-3a,,15,64QAM,3/4,17,,-,
FDD,Table A.3.2-3a,,20,64QAM,3/4,17,,-,
UE Category 2,,,,,,,,,
FDD,Table A.3.2-3b,,1.4,64QAM,3/4,6,,-,
FDD,Table A.3.2-3b,,3,64QAM,3/4,15,,-,
FDD,Table A.3.2-3b,,5,64QAM,3/4,25,,-,
FDD,Table A.3.2-3b,,10,64QAM,3/4,50,,-,
FDD,Table A.3.2-3b,,15,64QAM,3/4,75,,-,
FDD,Table A.3.2-3b,,20,64QAM,3/4,83,,-,
UE DL Category 0,,,,,,,,,
FDD,Table A.3.2-3c,,1.4,64QAM,3/4,2,,-,
FDD,Table A.3.2-3c,,3,64QAM,3/4,2,,-,
FDD,Table A.3.2-3c,,5,64QAM,3/4,2,,-,
FDD,Table A.3.2-3c,,10,64QAM,3/4,2,,-,
FDD,Table A.3.2-3c,,15,64QAM,3/4,2,,-,
FDD,Table A.3.2-3c,,20,64QAM,3/4,2,,-,
UE Categories 11/12 and UE DL categories ≥ 11,,,,,,,,,
FDD,Table A.3.2-5,,1.4,256QAM,4/5,6,,-,
FDD,Table A.3.2-5,,3,256QAM,4/5,15,,-,
FDD,Table A.3.2-5,,5,256QAM,4/5,25,,-,
FDD,Table A.3.2-5,,10,256QAM,4/5,50,,-,
FDD,Table A.3.2-5,,15,256QAM,4/5,75,,-,
FDD,Table A.3.2-5,,20,256QAM,4/5,100,,-,
UE DL Category M1,,,,,,,,,
FDD/HD-FDD,Table A.3.2-3d,,1.4,16QAM,3/5,2,,-,
FDD/HD-FDD,Table A.3.2-3d,,3,16QAM,3/5,2,,-,
FDD/HD-FDD,Table A.3.2-3d,,5,16QAM,3/5,2,,-,
FDD/HD-FDD,Table A.3.2-3d,,10,16QAM,3/5,2,,-,
FDD/HD-FDD,Table A.3.2-3d,,15,16QAM,3/5,2,,-,
FDD/HD-FDD,Table A.3.2-3d,,20,16QAM,3/5,2,,-,
UE DL Category M2,,,,,,,,,
FDD/HD-FDD,Table A.3.2-3e,,1.4,16QAM,3/5,2,,-,
FDD/HD-FDD,Table A.3.2-3e,,3,16QAM,3/5,8,,-,
FDD/HD-FDD,Table A.3.2-3e,,5,16QAM,1/2,15,,-,
FDD/HD-FDD,Table A.3.2-3e,,10,16QAM,1/2,15,,-,
FDD/HD-FDD,Table A.3.2-3e,,15,16QAM,1/2,15,,-,
FDD/HD-FDD,Table A.3.2-3e,,20,16QAM,1/2,15,,-,
UE DL category 20 and UE DL categories ≥ 22,,,,,,,,,
FDD,Table A.3.2-8,,1.4,1024QAM,4/5,6,,-,
FDD,Table A.3.2-8,,3,1024QAM,4/5,15,,-,
FDD,Table A.3.2-8,,5,1024QAM,4/5,25,,-,
FDD,Table A.3.2-8,,10,1024QAM,4/5,50,,-,
FDD,Table A.3.2-8,,15,1024QAM,4/5,75,,-,
FDD,Table A.3.2-8,,20,1024QAM,4/5,100,,-,
