Parameter,Unit,Value,Value
Channel bandwidth,MHz,10,20
Allocated resource blocks,,50,100
Uplink-Downlink Configuration,,N/A,N/A
Subcarriers per resource block,,12,12
Allocated subframes per Radio Frame (D),,8,8
Modulation,,64QAM,64QAM
Target Coding Rate,,3/4,3/4
Number of HARQ Processes,Processes,N/A,N/A
Maximum number of HARQ transmissions,,N/A,N/A
Information Bit Payload per Sub-Frame,,,
"For Sub-Frames 3,4,6,7,8,9",Bits,30576,61664
"For Sub-Frame 1,2",Bits,N/A,N/A
"For Sub-Frame 0,5",Bits,30576,61664
Transport block CRC,Bits,24,24
Number of Code Blocks per Sub-Frame(Note 3),,,
"For Sub-Frames 3,4,6,7,8,9",,5,11
"For Sub-Frame 1,2",,N/A,N/A
"For Sub-Frame 0,5",,5,11
Binary Channel Bits Per Sub-Frame,,,
"For Sub-Frames 3,4,6,7,8,9",Bits,41400,82800
"For Sub-Frame 1,2",Bits,N/A,N/A
"For Sub-Frame 0,5",Bits,40536,81936
Max. Throughput averaged over 1 frame,kbps,24460.8,49331.2
"Note 1:2 symbols allocated to PDCCH for 20 MHz.Note 2:Reference signal, Synchronization signals allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,
