Parameter,Unit,Value,,
Reference channel,,R.49 FDD,R.49-1 FDD,R.49-2 FDD
Channel bandwidth,MHz,20,10,5
Allocated resource blocks,,100,50,25
Allocated subframes per Radio Frame,,9,9,9
Modulation,,64QAM,64QAM,64QAM
Coding Rate,,,,
"For Sub-Frame 1,2,3,4,6,7,8,9,",,0.84,0.84,0.84
For Sub-Frame 5,,N/A,N/A,N/A
For Sub-Frame 0,,0.87,0.87,0.86
Information Bit Payload,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,63776,31704,15840
For Sub-Frame 5,Bits,N/A,N/A,N/A
For Sub-Frame 0,,63776,30576,14112
Number of Code Blocks per Sub-Frame(Note 3),,,,
"For Sub-Frames 0,1,2,3,4,6,7,8,9",Code Blocks,11,6,3
For Sub-Frame 5,Code Blocks,N/A,N/A,N/A
Binary Channel Bits Per Sub-Frame,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,75600,37800,18900
For Sub-Frame 5,Bits,N/A,N/A,N/A
For Sub-Frame 0,Bits,73080,35280,16380
Max. Throughput averaged over 1 frame,Mbps,57.398,28.420,14.083
UE Category,,≥5,≥2,≥2
"Note 1:3 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,
