Parameter,Unit,Values,,
Reference channel,,R.79 FDD,R.103 FDD,R.104 FDD
Channel bandwidth,MHz,10,10,10
Allocated DL subframes per Radio Frame,,Note 3,Note 5,Note 3Note 6
Allocated DL subframes per Radio Frame,,Note 3,Note 5,Note 3
Modulation,,16QAM,QPSK,64QAM
Target Coding Rate,,1/2,1/3,0.4
Information Bit Payload,,,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Bits,744,224,968
Number of Code Blocks,,,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Code blocks,1,1,1
Binary Channel Bits,,,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Bits,1584,792,2376
Max. Throughput averaged over 1 frame,Mbps,0.149,0.0187,0.194
UE DL Category,,"M1, M2 ≥ 0","M1, M2","M1, M2"
"Note 1:2 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3: The downlink subframes are scheduled at the 0th and 1st subframes every 10ms. Information bit payload is available if downlink subframe is scheduled (starting from 0th subframe). The corresponding MPDCCH is scheduled 2 subframes before the corresponding PDSCH transmissions.Note 4:Allocated PRB positions for PDSCH are {3, 4, 5} within the assigned narrowband. Allocated PRB positions for MPDCCH are {0, 1} within the assigned narrowband.Note 5:The downlink subframes are scheduled at the 0th subframes every 12ms. Information bit payload is available if downlink subframe is scheduled (starting from 5th subframe). The corresponding MPDCCH is scheduled 5 subframes before the corresponding PDSCH transmissions.Note 6: For case with 14 HARQ processes, scheduling pattern is 17ms. In every scheduling period, subframes from 0 to 11 are used for MPDCCH and MPDSCH transmission, the corresponding MPDCCH is scheduled 2 subframes before the corresponding PDSCH transmissions which are scheduled in subframes from 2 to 11. The corresponding MPDCCH is scheduled 7 subframes before the corresponding PDSCH transmissions which are scheduled in subframes 0 and 1. Subframe 13 is used for ACK/NACK feedback corresponding to MPDSCH transmitted in subframe from 0 to 3; Subframe 14 is used for ACK/NACK feedback corresponding to MPDSCH transmitted in subframe from 4 to 7; Subframe 15 is used for ACK/NACK feedback corresponding to MPDSCH transmitted in subframe from 8 to 11. Subframes 12 and 16 are used for gaps.",,,,
