Parameter,Unit,Value,
Reference channel,,R.11-13 FDD,
Channel bandwidth,MHz,10,
Allocated resource blocks (Note 4),,50,
Allocated subframes per Radio Frame,,9,
Modulation,,16QAM,
Target Coding Rate,,1/2,
Information Bit Payload (Note 4),,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,10680,
For Sub-Frame 5,Bits,N/A,
For Sub-Frame 0,Bits,10680,
Number of Code Blocks (Notes 3 and 4),,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,2,
For Sub-Frame 5,Bits,N/A,
For Sub-Frame 0,Bits,2,
Binary Channel Bits (Note 4),,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,21648,
For Sub-Frame 5,Bits,N/A,
For Sub-Frame 0,Bits,17424,
Max. Throughput averaged over 1 frame (Note 4),Mbps,9.612,
UE Category,,≥ 2,
"Note 1:2 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 4: Given per component carrier per codeword.Note 5:41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in sub-frame 0,1,2,3,4,6,7,8,9.",,,
