Parameter,Unit,Value,,,
Reference channel,,R.80 FDD,R.80-1 FDD,R.80-2 FDD,
Channel bandwidth,MHz,10,10,10,
Allocated resource blocks (Note 4),,6,6,6,
Allocated PDSCH subframes,,Note 3,Note 6,Note 7,
Modulation,,QPSK,QPSK,QPSK,
Target Coding Rate,,1/3,1/3,1/3,
Information Bit Payload,,,,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Bits,504,504,504,
Number of Code Blocks,,,,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Code blocks,1,1,1,
Binary Channel Bits,,,,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Bits,1440,1440,1440,
Max. Throughput averaged over one period,kbps,15.75,31.5,50.4,
UE DL Category,,"M1, ≥ 0",≥1,≥1,
"Note 1:2 symbols allocated to PDCCHNote 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4]Note 3: PDSCH subframes are scheduled at the 9th to 16th subframes every period=32 ms. Information bit payload is availabled from the 9-th to 16th subframes with repetition. (Starting from the 0th subframe)Note 4:Allocated PRB positions are {0, 1, 2, 3, 4, 5} within the assigned narrowband.Note 5: MPDCCH are scheduled at the 0th to 7th subframes with repetition. The allocated PRB positions are {0, 1, 2, 3, 4, 5} within the assigned narrowband. (Starting from the 0th subframe)Note 6:PDSCH subframes are scheduled at the 3th to 6th subframes every period=16 ms. Information bit payload is availabled from the 3th to 6th subframes with repetition. (Starting from the 0th subframe)Note 7:PDSCH subframes are scheduled at the 2th to 3th subframes every period=10 ms. Information bit payload is availabled from the 2th to 3th subframes with repetition. (Starting from the 0th subframe)",,,,,
