Parameter,Unit,Value,,,,,,,,,,
Reference channel,,R.43 FDD,R.43-1 FDD,R.43-2 FDD,R.50 FDD,R.48 FDD,R.66 FDD,R.75 FDD,R.75A FDD,R.cc FDD,R.45A-1 FDD,R.102 FDD
Channel bandwidth,MHz,10,10,10,10,10,10,10,10,10,10,10
Allocated resource blocks,,50 (Note 3),50 (Note 3),50 (Note 5),50 (Note 3),50 (Note 3),50 (Note 3),50 (Note 3),50 (Note 3),50 (Note 3),50 (Note 3),50(Note 3)
Allocated subframes per Radio Frame,,9,9,9,9,9,9,9,9,9,9,9
Modulation,,QPSK,QPSK,QPSK,64QAM,QPSK,256QAM,16QAM,16QAM,16QAM,16QAM,1024QAM
Target Coding Rate,,1/3,1/3,1/3,1/2,,0.77,0.57,0.51,0.64,1/2,3/4
Information Bit Payload,,,,,,,,,,,,
"For Sub-Frames 1,4,6,9",Bits,3624,3624,3624,18336,6200,36696,25456,25456,15264,11448,52752
"For Sub-Frames 2,3,7,8",Bits,3624,3624,3624,16416,6200,35160,25456,25456,15264,11448,52752
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,2984,2984,3368,14688,4968,30576,21384,21384,12576,9528,N/A
Number of Code Blocks (Note 4),,,,,,,,,,,,
"For Sub-Frames 1,4,6,9",Code blocks,1,1,1,3,2,6,5,5,3,2,9
"For Sub-Frames 2,3,7,8",Code blocks,1,1,1,3,2,6,5,5,3,2,9
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,1,1,1,3,1,5,4,4,3,2,N/A
Binary Channel Bits,,,,,,,,,,,,
"For Sub-Frames 1,6",Bits,12000,13200,13200,36000,12000,48000,43200,48000,24000,24000,66000
"For Sub-Frames 4,9",Bits,12000,12000,12000,36000,12000,48000,43200,48000,24000,24000,66000
"For Sub-Frames 2,7",Bits,11600,12800,12800,34800,11600,46400,41600,46400,23200,23200,64000
"For Sub-Frames 3,8",Bits,11600,12800,12800,34800,12000,46400,41600,46400,23200,23200,66000
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,9840,9840,10560,29520,9840,39360,35424,40224,19680,19680,N/A
Max. Throughput averaged over 1 frame,Mbps,3.1976,3.1976,3.236,15.3696,5.4568,31.800,22.503,22.503,13.4688,10.1112,46.5832
UE Category,,≥ 1,≥ 1,≥ 1,≥ 2,≥ 1,11-12,≥ 5,≥ 5,≥ 2,≥ 2,TBD
UE DL Category,,≥ 6,≥ 6,≥ 6,≥ 6,≥ 6,≥ 11,≥ 6,≥ 6,≥ 6,≥ 6,"20, ≥ 22"
"Note 1:2 symbols allocated to PDCCH. 1 symbol allocated to PDCCH for reference channel with 1024QAM.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:50 resource blocks are allocated in sub-frames 1, 2, 3, 4, 6, 7, 8, 9 and 41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in sub-frame 0.Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 5:50 resource blocks are allocated in sub-frames 1, 2, 3, 4, 6, 7, 8, 9 and 47 resource blocks (RB0–RB23 and RB27–RB49) are allocated in sub-frame 0. In sub-frame 0, PDSCH is rate matched around RB22, RB23 and RB27.",,,,,,,,,,,,
