Parameter,Unit,Value
Reference channel,,R.69 FDD
Channel bandwidth,MHz,10
Allocated resource blocks,,50
Allocated subframes per Radio Frame,,8
Modulation,,QPSK
Target Coding Rate,,
"For Sub-Frames 2,3,4,6,7,8,9",,0.74
For Sub-Frame 1,,0.8
Information Bit Payload,,
"For Sub-Frames 2,3,4,6,7,8,9",Bits,7992
For Sub-Frame 1,Bits,7992
For Sub-Frame 5,Bits,N/A
For Sub-Frame 0,Bits,N/A
Number of Code Blocks per Sub-Frame(Note 4),,
"For Sub-Frames 2,3,4,6,7,8,9",,2
For Sub-Frame 1,,2
For Sub-Frame 5,,N/A
For Sub-Frame 0,,N/A
Binary Channel Bits Per Sub-Frame,,
"For Sub-Frames 2,3,4,6,7,8,9",Bits,10800
For Sub-Frame 1,Bits,10000
2  For Sub-Frame 5,Bits,N/A
For Sub-Frame 0,Bits,N/A
Max. Throughput averaged over 1 frame,Mbps,6.3936
UE Category,,≥ 1
"Note 1:3 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4]Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)",,
