Parameter,Unit,Value,,,,,,
Reference channel,,R.67 TDD,,,,,,
Channel bandwidth,MHz,10,,,,,,
Allocated resource blocks (Note 5),,50,,,,,,
Modulation,,16QAM,,,,,,
Target Coding Rate,,0.4,,,,,,
Dynamic Uplink-Downlink Configuration (Note 3),,0,1,2,3,4,5,6
Allocated subframes per Radio Frame (D+S),,1+2,3+2,5+2,5+1,6+1,7+1,2+2
Information Bit Payload (Note 5),,,,,,,,
For Sub-Frame 0,Bits,9912,9912,9912,9912,9912,9912,9912
For Sub-Frame 1,Bits,7480,7480,7480,7480,7480,7480,7480
For Sub-Frame 2,Bits,NA,NA,NA,NA,NA,NA,NA
For Sub-Frame 3,Bits,NA,NA,9912,NA,NA,9912,NA
For Sub-Frame 4,Bits,NA,9912,9912,NA,9912,9912,NA
For Sub-Frame 5,Bits,NA,NA,NA,NA,NA,NA,NA
For Sub-Frame 6,Bits,7480,7480,7480,9912,9912,9912,7480
For Sub-Frame 7,Bits,NA,NA,NA,9912,9912,9912,NA
For Sub-Frame 8,Bits,NA,NA,9912,9912,9912,9912,NA
For Sub-Frame 9,Bits,NA,9912,9912,9912,9912,9912,9912
Number of Code Blocks (Notes 4 and 5),,,,,,,,
For Sub-Frame 0,,2,2,2,2,2,2,2
For Sub-Frame 1,,2,2,2,2,2,2,2
For Sub-Frame 2,,NA,NA,NA,NA,NA,NA,NA
For Sub-Frame 3,,NA,NA,2,NA,NA,2,NA
For Sub-Frame 4,,NA,2,2,NA,2,2,NA
For Sub-Frame 5,,NA,NA,NA,NA,NA,NA,NA
For Sub-Frame 6,,2,2,2,2,2,2,2
For Sub-Frame 7,,NA,NA,NA,2,2,2,NA
For Sub-Frame 8,,NA,NA,2,2,2,2,NA
For Sub-Frame 9,,NA,2,2,2,2,2,2
Binary Channel Bits (Note 5),,,,,,,,
For Sub-Frame 0,Bits,25056,25056,25056,25056,25056,25056,25056
For Sub-Frame 1,Bits,21312,21312,21312,21312,21312,21312,21312
For Sub-Frame 2,Bits,NA,NA,NA,NA,NA,NA,NA
For Sub-Frame 3,Bits,NA,NA,26400,NA,NA,26400,NA
For Sub-Frame 4,Bits,NA,26400,26400,NA,26400,26400,NA
For Sub-Frame 5,Bits,NA,NA,NA,NA,NA,NA,NA
For Sub-Frame 6,Bits,21312,21312,21312,26112,26112,26112,21312
For Sub-Frame 7,Bits,NA,NA,NA,26400,26400,26400,NA
For Sub-Frame 8,Bits,NA,NA,26400,26400,26400,26400,NA
For Sub-Frame 9,Bits,NA,26400,26400,26400,26400,26400,26400
Max. Throughput averaged over 1 frame (Note 5),Mbps,2.49,4.47,6.45,5.70,6.70,7.69,3.48
Max. Throughput averaged over 1 frame and over all dynamic UL-DL configurations (Note 5),Mbps,5.28,,,,,,
UE Category,,≥ 1,,,,,,
"Note 1:2 OFDM symbols are allocated to PDCCH in all subframesNote 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:As per Table 4.2-2 in TS 36.211 [4].Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 5:Given per component carrier per codeword.",,,,,,,,
