Parameter,PMCH,,,,,,
,Unit,Value,,,,,
Reference channel,,,R.83-1 FDD,R.83-2 FDD,,,
Channel bandwidth,MHz,,10,10,,,
Allocated resource blocks,,,50,50,,,
Allocated subframes per Radio Frame(Note1),,,10,10,,,
Modulation,,,16QAM,64QAM,,,
Target Coding Rate,,,1/2,2/3,,,
Information Bit Payload (Note 2),,,,,,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Bits,,11448,25456,,,
Number of Code Blocks per Sub-Frame (Note 3),,,3,5,,,
Binary Channel Bits Per Subframe,,,,,,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Bits,,24000,36000,,,
MBMS UE Category,,,≥ 2,≥ 2,,,
"Note 1:For FDD mode, all 10 subframes are available for MBMS, in line with TS 36.331 [7].Note 2:Zero OFDM symbols are reserved for PDCCH; and no CRS allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,,
