Parameter,Unit,Value,Value,Value
Reference channel,,R.NB.7 FDD,R.NB.8 FDD,R.NB.9 FDD
Carrier Type,,Non-anchor,Non-anchor,Non-anchor
Channel bandwidth,KHz,200,200,200
Allocated subframes per Radio Frame,,Note 1,Note 1,Note 1
Modulation,,QPSK,QPSK,16-QAM
ITBS/ISF,,9/5,6/7,21/7
Target Coding Rate,,½,1/3,3/4
Coding Rate,,0.5,0.32,0.78
Information Bit Payload,,,,
"For Sub-Frames 1,2,3,6,7,8",Bits,936,1032,4968
"For Sub-Frame 0,5",Bits,936,1032,4968
"For Sub-Frame 4,9",Bits,936,1032,4968
Number of Code Blocks,,,,
"For Sub-Frames 1,2,3,6,7,8",,1,1,1
"For Sub-Frame 0,5",Bits,1,1,1
"For Sub-Frame 4,9",Bits,1,1,1
Binary Channel Bits,,,,
"For Sub-Frames 1,2,3,6,7,8",Bits,320,320,640
"For Sub-Frame 0,5",Bits,320,320,640
"For Sub-Frame 4,9",Bits,320,320,640
Max. Average Throughput,Bps,Note 2,Note 2,Note 2
UE Category,,NB2,NB2,NB2
"Note 1:It shall depend on the specific NPDSCH scheduling.Note 2:Maximum Average Throughput equals to sum of TB(i) divided by sum of T(i), where TB(i) is the TB size of NPDSCH over ith NPDSCH scheduling period, and T(i) is the total time consisting of NPDCCH transmission duration, NPDCCH to NPDSCH scheduling delay,  NPDSCH transmission duration, NPDSCH to NPUSCH format 2 scheduling delay, NPUSCH format 2 transmission duration, possible delay between NPUSCH format 2 and NPDCCH for next NPDSCH scheduling and subframes used for NPSS/NSSS/NPBCH/NB-SIB1/NB-SIB2 transmission during the ith NPDSCH scheduling period.",,,,
