Parameter,,Unit,Value,,,,,
Reference channel,,,CC.1 FDD,CC.2 FDD,CC.3 FDD,CC.4 FDD,CC.5 FDD,CC.6 FDD
Channel bandwidth,,MHz,5,10,5,10,5,10
Allocated resource blocks,,,1,1,1,1,1,1
Subcarriers per resource block,,,12,12,12,12,12,12
DFT-OFDM Symbols per subframe (see Note 1),,,11,11,11,11,11,11
Modulation,,,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Transport Block Size,,Bits,41,43,41,43,41,43
Information bits,Frequency hopping flag,,0,0,1,1,1,1
,RB assignment,,Set as per PSSCH RB allocation specific in the test,,,,,
,Hopping bits,,N/A,N/A,1Type 2 Hopping,"(1,1)Type 2 Hopping",0Type 1 Hopping,"(1,0)Type 1 Hopping"
,Time resource pattern (ITRP),,8 (unless specified otherwise in the test)(Note 3),,,,,
,Modulation and coding scheme,,Set as the PSSCH MCS specified in the test,,,,,
,Timing advance indication,,0 (unless specified otherwise in the test),,,,,
,Group destination ID,,As set by higher layers,,,,,
Transport block CRC,,Bits,16,16,16,16,16,16
Maximum number of HARQ transmissions,,,2,2,2,2,2,2
"Binary Channel Bits (see Note 1,2)",,Bits,264,264,264,264,264,264
Max. Throughput averaged over one sc-period (bits/sc-period),,,41,43,41,43,41,43
"Note 1:PSCCH transmissions are rate-matched for 12 DFT-OFDM symbols per subframe, and the last symbol shall be punctured as per TS 36.211.Note 2:Binary channel bits per HARQ transmission.NOTE 3: For NTRP = 8 (FDD) and trpt-Subset = 010, ITRP = 8 corresponds to a time repetition pattern of (1,1,0,0,0,0,0,0) as per TS 36.213.",,,,,,,,
