Parameter,Ch BW,Allocated RBs,DFT-OFDM Symbols per Sub-Frame,Mod’n,Target Coding rate,Payload size,Transport block CRC,Number of code blocks per Sub-Frame (Note 1),Total number of bits per Sub-Frame,Total symbols per Sub-Frame
Unit,MHz,,,,,Bits,Bits,,Bits,
,"10, 20",3,9,64QAM,3/4,1480,24,1,1944,324
,"10, 20",4,9,64QAM,3/4,1864,24,1,2592,432
,"10, 20",5,9,64QAM,3/4,2408,24,1,3240,540
,"10, 20",6,9,64QAM,3/4,2984,24,1,3888,648
,"10, 20",8,9,64QAM,3/4,3752,24,1,5184,864
,"10, 20",9,9,64QAM,3/4,4392,24,1,5832,972
,"10, 20",10,9,64QAM,3/4,4968,24,1,6480,1080
,"10, 20",12,9,64QAM,3/4,5736,24,1,7776,1296
,"10, 20",15,9,64QAM,3/4,7224,24,2,9720,1620
,"10, 20",16,9,64QAM,3/4,7480,24,2,10368,1728
,"10, 20",18,9,64QAM,3/4,8760,24,2,11664,1944
,"10, 20",20,9,64QAM,3/4,9912,24,2,12960,2160
,"10, 20",24,9,64QAM,3/4,11448,24,2,15552,2592
,"10, 20",25,9,64QAM,3/4,12216,24,2,16200,2700
,"10, 20",27,9,64QAM,3/4,12960,24,3,17496,2916
,"10, 20",30,9,64QAM,3/4,14688,24,3,19440,3240
,"10, 20",32,9,64QAM,3/4,15264,24,3,20736,3456
,"10, 20",36,9,64QAM,3/4,17568,24,3,23328,3888
,"10, 20",40,9,64QAM,3/4,19848,24,4,25920,4320
,"10, 20",45,9,64QAM,3/4,22152,24,4,29160,4860
,"10, 20",48,9,64QAM,3/4,22920,24,4,31104,5184
,20,50,9,64QAM,3/4,24496,24,4,32400,5400
,20,54,9,64QAM,3/4,26416,24,5,34992,5832
,20,60,9,64QAM,3/4,29296,24,5,38880,6480
,20,64,9,64QAM,3/4,31704,24,6,41472,6912
,20,72,9,64QAM,3/4,35160,24,6,46656,7776
,20,75,9,64QAM,3/4,36696,24,6,48600,8100
,20,80,9,64QAM,3/4,39232,24,7,51840,8640
,20,81,9,64QAM,3/4,39232,24,7,52488,8748
,20,90,9,64QAM,3/4,43816,24,8,58320,9720
,20,96,9,64QAM,3/4,46888,24,8,62208,10368
