Operating Band,Centre Frequency of Interfering Signal [MHz],,,Interfering Signal mean power [dBm],Wanted Signal mean power [dBm],Interfering signal centre frequency minimum frequency offset from  the channel edge of the wanted signal [MHz],Type of Interfering Signal
"1-7, 9-11, 13, 14, 18, 19, 21-23, 24, 27, 30, 33-44, 48, 50-52, 54, 65, 66, 68, 70",(FUL_low -20),to,(FUL_high +20),-27,PREFSENS +14dB (Note 1),See table 7.6.1.1-2,See table 7.6.1.1-2
,1(FUL_high +20),toto,(FUL_low -20)12750,-15,PREFSENS +14dB (Note 1),,CW carrier
"8, 26, 28",(FUL_low  -20),to,(FUL_high +10),-27,PREFSENS +14dB (Note 1),See table 7.6.1.1-2,See table 7.6.1.1-2
,1(FUL_high +10),toto,(FUL_low  -20)12750,-15,PREFSENS +14dB (Note 1),,CW carrier
12,(FUL_low  -20),to,(FUL_high +13),-27,PREFSENS +14dB (Note 1),See table 7.6.1.1-2,See table 7.6.1.1-2
,1(FUL_high +13),toto,(FUL_low  -20)12750,-15,PREFSENS +14dB (Note 1),,CW carrier
17,(FUL_low  -20),to,(FUL_high +18),-27,PREFSENS +14dB (Note 1),See table 7.6.1.1-2,See table 7.6.1.1-2
,1(FUL_high +18),toto,(FUL_low  -20)12750,-15,PREFSENS +14dB (Note 1),,CW carrier
"20, 71",(FUL_low  -11),to,(FUL_high +20),-27,PREFSENS +14dB (Note 1),See table 7.6.1.1-2,See table 7.6.1.1-2
,1(FUL_high +20),toto,(FUL_low  -11)12750,-15,PREFSENS +14dB (Note 1),,CW carrier
25,(FUL_low  -20),to,(FUL_high +15),-27,PREFSENS +14dB (Note 1),See table 7.6.1.1-2,See table 7.6.1.1-2
,1(FUL_high +15),toto,(FUL_low  -20)12750,-15,PREFSENS +14dB (Note 1),,CW carrier
74,(FUL_low -20),to,(FUL_high +5),-27,PREFSENS +14dB (Note 1),See table 7.6.1.1-2,See table 7.6.1.1-2
,1(FUL_high +5),toto,(FUL_low -20)12750,-15,PREFSENS +14dB (Note 1),,CW carrier
85,(FUL_low  -20),to,(FUL_high +12),-27,PREFSENS +14dB (Note 1),See table 7.6.1.1-2,See table 7.6.1.1-2
,1(FUL_high +12),toto,(FUL_low  -20)12750,-15,PREFSENS +14dB (Note 1),,CW carrier
Note 1:PREFSENS depends on the channel bandwidth as specified in Table 7.2.1-3.,,,,,,,
