Number of TX antennas,Number of RX antennas,Cyclic Prefix,Propagation conditions andcorrelation matrix (Annex B),Channel Bandwidth / SNR [dB],,,,,
,,,,1.4 MHz,3 MHz,5 MHz,10 MHz,15 MHz,20 MHz
1,2,Normal,EPA 5 Low,-2.5,-3.9,-4.8,-5.4,-5.3,-5.1
,,,EVA 5 Low,-4.5,-5.1,-5.1,-5.0,-5.1,-5.1
,,,EVA 70 Low,-4.9,-5.2,-5.2,-5.1,-5.2,-5.1
,,,ETU 300* Low,-5.0,-5.1,-4.9,-5.0,-5.2,-5.2
,,Extended,ETU 70* Low,-4.2,-4.3,-4.1,-4.3,-4.2,-4.3
,4,Normal,EPA 5 Low,-7.9,-8.4,-8.7,-8.9,-8.9,-9.0
,,,EVA 5 Low,-8.8,-9.1,-9.1,-8.8,-8.9,-8.9
,,,EVA 70 Low,-8.9,-9.0,-9.0,-8.8,-9.0,-8.8
,,,ETU 300* Low,-8.7,-8.9,-8.7,-8.7,-8.9,-8.8
,,Extended,ETU 70* Low,-7.9,-8.1,-7.9,-8.1,-8.0,-8.0
,8,Normal,EPA 5 Low,-11.2,-11.5,-12.2,-12.3,-12.3,-12.3
,,,EVA 5 Low,-12.0,-12.0,-12.1,-12.1,-12.3,-12.2
,,,EVA 70 Low,-12.0,-12.1,-12.2,-12.1,-12.3,-12.1
,,,ETU 300* Low,-11.6,-11.6,-11.6,-11.8,-11.6,-11.8
,,Extended,ETU 70* Low,-10.5,-10.7,-10.6,-10.7,-10.6,-10.6
Note*:Not applicable for Local Area BS and Home BS.,,,,,,,,,
