Number of TX antennas,Number of RX antennas,Propagation conditions andcorrelation matrix (Annex B),Frequency offset,Number of Repetitions,SNR [dB],,,
,,,,,Burst format 0,Burst format 1,Burst format 2,Burst format 3
1,2,AWGN,0,4,-,-,-21.3,-21.1
,,,,8,-21.7,-21.3,-,-
,,,,16,-,-,-25.1,-25.0
,,,,32,-25.6,-25.3,-,-
,,EPA1 Low,270 Hz,4,-,-,-12.1,-11.7
,,,,8,-13.0,-12.3,-,-
,,,,16,-,-,-17.2,-17.2
,,,,32,-19.0,-18.6,-,-
"Note 1:Under fading channels, the PRACH detection performance may be significantly different with different PRACH Configuration Indexes. The requirements in this table are defined based on the simulation results with PRACH Configuration Indexes (3, 19, 35, 51) for Format 0, Format 1, Format 2, and Format 3 respectively.",,,,,,,,
