Reference channel,A3-1,A3-2,A3-3,A3-4,A3-5,A3-6,A3-7
Allocated resource blocks,1,6,15,25,50,75,100
DFT-OFDM Symbols per subframe,12,12,12,12,12,12,12
Modulation,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Code rate,1/3,1/3,1/3,1/3,1/3,1/3,1/3
Payload size (bits),104,600,1544,2216,5160,6712,10296
Transport block CRC (bits),24,24,24,24,24,24,24
Code block CRC size (bits),0,0,0,0,0,24,24
Number of code blocks - C,1,1,1,1,1,2,2
Coded block size including 12bits trellis termination (bits),396,1884,4716,6732,15564,10188,15564
Total number of bits per sub-frame,288,1728,4320,7200,14400,21600,28800
Total symbols per sub-frame,144,864,2160,3600,7200,10800,14400
