Reference channel,A16-7
Subcarrier spacing (kHz),15
Number of allocated subcarriers,12
Diversity,No
Modulation,16QAM
ITBS / IRU,15 / 0
Payload size (bits),280
Allocated resource unit,1
Code rate (target),1/2
Code rate (effective),0.528
Transport block CRC (bits),24
Code block CRC size (bits),0
Number of code blocks - C,1
Total number of bits per resource unit,576
Total symbols per resource unit,144
Channel estimation length (ms) Note 1,1
Note 1: Channel estimation lengths are included in the table for information only,
