Reference channel,A17-1,A17-2,A17-3,A17-4,A17-5,A17-6
Allocated resource blocks,6,15,25,50,75,100
DFT-OFDM Symbols per subframe,12,12,12,12,12,12
Modulation,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM
Code rate,5/6,5/6,5/6,5/6,5/6,5/6
Payload size (bits),5544,14112,22920,46888,68808,93800
Transport block CRC (bits),24,24,24,24,24,24
Code block CRC size (bits),0,24,24,24,24,24
Number of code blocks - C,1,3,4,8,12,16
Coded block size including 12bits trellis termination (bits),16716,14220,17292,17676,17292,17676
Total number of bits per sub-frame,6912,17280,28800,57600,86400,115200
Total symbols per sub-frame,864,2160,3600,7200,10800,14400
