Reference channel,A22-1,A22-2,A22-3,A22-4
Allocated resource blocks,6,15,25,50
DFT-OFDM Symbols per subframe,12,12,12,12
Modulation,64QAM,64QAM,64QAM,64QAM
Code rate,0.51,0.50,0.50,0.50
MCS index,21,21,21,21
Payload size (bits),2600,6456,10680,21384
Transport block CRC (bits),24,24,24,24
Code block CRC size (bits),0,24,24,24
Number of code blocks - C,1,2,2,4
Coded block size including 12bits trellis termination (bits),7884,9804,16140,16140
Total number of bits per sub-frame,5184,12960,21600,43200
Total symbols per sub-frame,864,2160,3600,7200
