Configuration,,Measurement bandwidth [RB],Number of UL/DL sub-frames per half frame (5 ms),,DwPTS,,TMeasurement_Period_TDD_Inter [ms] (normal performance),TMeasurement_Period_TDD_Inter [ms] (reduced performance)
,,DL,UL,Normal CP,Extended CP,,,
0,,6,2,2,,,"480 x Kn x Nfreq,n","480 x Kr x Nfreq,r"
1 (Note 1),,50,2,2,,,"240 x Kn x Nfreq,n","240 x Kr x Nfreq,r"
2,,6,1,3,,,"720 x Kn x Nfreq,n","720 x Kr x Nfreq,r"
3 (Note 1),,50,1,3,,,"480 x Kn x Nfreq,n","480 x Kr x Nfreq,r"
4,,6,2,2,,,Tburst x Nfreq,Tburst x Nfreq
5 (Note 3),,50,2,2,,,½ x Tburst x Nfreq,½ x Tburst x Nfreq
6,,6,1,3,,,3/2∙Tburst x Nfreq,3/2 x Tburst x Nfreq
7 (Note 3),,50,1,3,,,Tburst x Nfreq,Tburst x Nfreq
Note 1:This configuration is optionalNote 2:Ts is defined in TS 36.211 [16]Note 3:This configuration is optional and when nonUniform1 – nonUniform4 are configured,,,,,,,,
