DRX cycle length (s),"Tidentify, UTRA_FDD (s) (DRX cycles) (normal requirement)",,"Tidentify, UTRA_FDD (s) (DRX cycles) (reduced requirement)",
,Gap period = 40 ms,Gap period = 80 ms,Gap period = 40 ms,Gap period = 80 ms
≤0.04,Non DRX Requirements in clause 8.1.2.4.7.1.1are applicable,Non DRX Requirements in clause 8.1.2.4.7.1.1 are applicable,Non DRX Requirements in clause 8.1.2.4.7.1.1are applicable,Non DRX Requirements in clause 8.1.2.4.7.1.1 are applicable
0.04<DRX cycle≤0.08,"Note (45*Kn* Nfreq,n)","Note (95*Kn * Nfreq,n)","Note (45*Kr* Nfreq,r)","Note (95*Kr * Nfreq,r)"
0.128,"3.84*Kn * Nfreq,n (30*Kn * Nfreq,n)","8.0*Kn * Nfreq,n (62.5*Kn * Nfreq,n)","3.84*Kr * Nfreq,r (30*Kr * Nfreq,r)","8.0*Kr * Nfreq,r (62.5*Kr * Nfreq,r)"
0.16,"4.0*Kn * Nfreq,n (25*Kn * Nfreq,n)","8.0*Kn * Nfreq,n (50*Kn * Nfreq,n)","4.0*Kr * Nfreq,r (25*Kr * Nfreq,r)","8.0*Kr * Nfreq,r (50*Kr * Nfreq,r)"
0.256,"6.4*Kn * Nfreq,n (25*Kn * Nfreq,n)","8.96*Kn * Nfreq,n (35*Kn * Nfreq,n)","6.4*Kr * Nfreq,r (25*Kr * Nfreq,r)","8.96*Kr * Nfreq,r (35*Kr * Nfreq,r)"
0.32,"8*Kn * Nfreq,n (25*Kn * Nfreq,n)","8.96*Kn * Nfreq,n (28*Kn * Nfreq,n)","8*Kr * Nfreq,r (25*Kr * Nfreq,r)","8.96*Kr * Nfreq,r (28*Kr * Nfreq,r)"
0.32<DRX cycle≤2.56,"Note (25*Kn * Nfreq,n)","Note (25*Kn * Nfreq,n)","Note (25*Kr * Nfreq,r)","Note (25*Kr * Nfreq,r)"
Note: Time depends upon the DRX cycle in use,,,,
