Accuracy,,Conditions,,,
Normal condition,Extreme condition,Ês/Noc Note 6,Io Note 1 range,,
,,,E-UTRA ProSe operating band groups Note 5,Minimum Io,Maximum Io
dB,dB,dB,,dBm/15kHz Note 4,dBm/BWChannel
2,3,-1.5 dB,FDD_D,-119.5,-50
,,,FDD_E,-119,-50
,,,FDD_F,-118.5,-50
,,,FDD_G,-118,-50
,,,FDD_N,-114.5,-50
3,3,-1.5 dB,Note 3,Note 3,Note 3
"NOTE 1:Io is assumed to have constant EPRE across the bandwidth.NOTE 2:The parameter Ês/Noc is the minimum Ês/Noc of the pair of ProSe Relay UEs to which the requirement applies.NOTE 3:The same bands and the same Io conditions for each band apply for this requirement as for the corresponding highest accuracy requirement.NOTE 4:The condition level is increased by ∆>0, when applicable, as described in Sections B.4.2 and B.4.3.NOTE 5:E-UTRA ProSe operating band groups are as defined in Section 3.5 for the corresponding E-UTRA operating bands.NOTE 6: When numReTx is configured as 3 for the relay Discovery transmissions. For numReTx < 3, the minimum Ês/Noc at which the accuracy requirements are fulfilled is expected to be higher than as specified for numReTx=3.NOTE 7:Layer 1 filtering for SD-RSRP is performed using PSDCH (re)transmissions within a discovery period.",,,,,
