,Unit,R.6 TDD
Bandwidth,MHz,10
Number of transmit antennas,,1
Allocated resource blocks(Note 4),,24
Uplink-Downlink Configuration (Note 5),,1
Special Subframe Configuration (Note 6),,6
Allocated subframes per Radio Frame,,6
Modulation,,QPSK
Target coding rate,,1/3
Information Bit Payload,,
"For Sub-Frame 4, 9",,
Slot index 0,Bits,872
Slot index 1,Bits,1224
For Sub-Frame 5,,
Slot index 0,Bits,872
Slot index 1,Bits,1224
For Sub-Frame 0,,
Slot index 0,Bits,872
Slot index 1,Bits,1032
"For Sub-Frame 1, 6 (DwPTS)",,(1032)
Slot index 0,Bits,872
Slot index 1,Bits,N/A
Number of Code Blocks per Sub-Frame,,
"For Sub-Frame 4, 9",,
Slot index 0,,1
Slot index 1,,1
For Sub-Frame 5,,
Slot index 0,,1
Slot index 1,,1
For Sub-Frame 0,,
Slot index 0,,1
Slot index 1,,1
"For Sub-Frame 1, 6 (DwPTS)",,
Slot index 0,,1
Slot index 1,,N/A
Binary Channel Bits per slot,,
"For Sub-Frame 4, 9",Bits,
Slot index 0,Bits,2784
Slot index 1,Bits,3840
For Sub-Frame 5,Bits,
Slot index 0,Bits,2784
Slot index 1,Bits,3696
For Sub-Frame 0,Bits,
Slot index 0,Bits,2640
Slot index 1,Bits,3288
"For Sub-Frame 1, 6 (DwPTS)",Bits,
Slot index 0,Bits,2640
Slot index 1,Bits,N/A
Max. Throughput averaged over 1 frame,kbps,999.6
"Note 1:2 symbols allocated to PDCCH for 10 MHz channel BW. 3 OFDM symbols allocated to PDCCH for 5MHz channel BW. 4 symbols allocated to PDCCH for 1.4 MHz channel BW. For special subframe (1 & 6) only 2 OFDM symbols are allocated to PDCCH for all bandwidths.Note 2:Reference signal, synchronization signals and PBCH allocated as defined in TS 36.211 [16].Note 3:If necessary the information bit payload size can be adjusted to facilitate the test implementation. The payload sizes are defined in TS 36.213 [3].Note 4:Allocation is located in the middle of bandwidth.Note 5:As per Table 4.2-2 in TS 36.211 [16]Note 6:As per Table 4.2-1 in TS 36.211 [16]Note 7:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)Note 8:PDSCH allocation applies only to subframes not configured as PRS subframes.Note 9:SPDCCH is transmitted outside allocated resource blocks",,
