Parameter,Unit,Cell 1,,,,,Cell 2,,,,
,,T1,,T2,,T3,T1,,T2,,T3
E-UTRA RF Channel Number,,1,,,,,1,,,,
BWchannel,MHz,"5 MHz: NRB,c = 2510 MHz: NRB,c = 5020 MHz: NRB,c = 100",,,,,"5 MHz: NRB,c = 2510 MHz: NRB,c = 5020 MHz: NRB,c = 100",,,,
OCNG Pattern defined in A.3.2.2,,5 MHz: OP.10 TDD10 MHz: OP.2 TDD20 MHz: OP.8 FDD,,,,,5 MHz: OP.10 TDD10 MHz: OP.2 TDD20 MHz: OP.8 FDD,,,,
PBCH_RA,dB,-3,,,,,-3,,,,
PBCH_RB,,,,,,,,,,,
PSS_RA,,,,,,,,,,,
SSS_RA,,,,,,,,,,,
PCFICH_RB,,,,,,,,,,,
PHICH_RA,,,,,,,,,,,
PHICH_RB,,,,,,,,,,,
PDCCH_RA,,,,,,,,,,,
PDCCH_RB,,,,,,,,,,,
PDSCH_RA,,,,,,,,,,,
PDSCH_RB,,,,,,,,,,,
OCNG_RANote 1,,,,,,,,,,,
OCNG_RBNote 1,,,,,,,,,,,
Qrxlevmin,dBm,-140,,,,,-140,,,,
Pcompensation,dB,0,,,,,0,,,,
Qhysts,dB,0,,,,,0,,,,
"Qoffsets, n",dB,0,,,,,0,,,,
Cell_selection_and_reselection_quality_measurement,,RSRP,,,,,RSRP,,,,
Note2,dBm/15 kHz,-98,,,,,,,,,
,dB,16,12,,16,,-infinity,16,,12,
,dB,16,-4.11,,3.73,,-infinity,3.73,,-4.11,
RSRP Note3,dBm/15 kHz,-82,-86,,-82,,-infinity,-82,,-86,
Treselection,s,0,,,,,0,,,,
Sintrasearch,dB,Not sent,,,,,Not sent,,,,
Propagation Condition,,AWGN,,,,,AWGN 1944 Hz Note4,,,,
Antenna Configuration,,2x2,,,,,2x2,,,,
Timing offset to Cell 1Synchronous cells,us,-,,,,,3,,,,
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:Es/Iot and RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:The AWGN 1944 Hz condition is a non fading propagation channel with one tap. Doppler shift is a constant 1944 Hz.,,,,,,,,,,,
