Parameter,Unit,Value
,,Test 1
RF Channel Number,,1
BWchannel,kHz,200
PRB location within eCell,,eCell BWchannel 5MHz: 17eCell BWchannel 10MHz:30
NPDSCH parameter,,eCell BWchannel 5MHz: R.17 HD-FDDeCell BWchannel 10MHz: R.15 HD-FDD
NPDCCH parameter,,eCell BWchannel 5MHz: R.41 HD-FDDeCell BWchannel 10MHz: R.29 HD-FDD
NPBCH_RA,dB,-3
NPBCH_RB,,
NPSS_RA,,
NSSS_RA,,
NPDCCH_RA,,
NPDCCH_RB,,
NPDSCH_RA,,
NPDSCH_RB,,
NOCNG_RA Note1,,
NOCNG_RB Note1,,
,dBm/15 kHz,Specified in Table A.7.1.17.1-3
,dB,4
,dB,4
Antenna Configuration,,2x1
Propagation condition,-,AWGN
Note 1NOCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,
