Parameter,Unit,Value,
,,T1,T2
E-UTRA RF Channel Number,,1,
BWchannel,MHz,10,
PDSCH Reference Measurement Channel in clause A.3.1.4.5,,R.12 HD-FDD,
MPDCCH Reference Measurement Channel in clause A.3.1.3.5,,R.8 HD-FDD,
OCNG Patterns defined in A.3.2.1.21,,OP.21 FDD,
PBCH_RA,dB,0,
PBCH_RB,dB,,
PSS_RA,dB,,
SSS_RA,dB,,
PHICH_RA,dB,,
PHICH_RB,dB,,
PDCCH_RA,dB,,
PDCCH_RB,dB,,
PDSCH_RA,dB,,
PDSCH_RB,dB,,
OCNG_RANote1,dB,,
OCNG_RBNote1,dB,,
Timing Advance Command (TA),,31,39
,dBm/15 KHz,-98,
,dB,-12,
Note2,dB,-12,
RSRP Note2,dBm/15 KHz,-110,
IoNote2,dBm/9 MHz,-69.95,
Propagation Condition,,AWGN,
Antenna Configuration,,1x1,
"Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:, RSRP, Io level has been derived from other parameters for information purpose. It is not a settable parameter.",,,
