Parameter,Unit,eCell 1
,,T1-T3
BWchannel,MHz,10
NOCNG Pattern,-,BWchannel 10MHz: NOP.1 TDD
PBCH_RA,dB,-3
PBCH_RB,dB,
PSS_RA,dB,
SSS_RA,dB,
PCFICH_RB,dB,
PDCCH_RA,dB,
PDCCH_RB,dB,
OCNG_RANote 1,dB,
OCNG_RBNote 1,dB,
Note2,dBm/15 kHz,-98
,dB,4
Propagation Condition,,AWGN
Antenna Configuration,,2x1
Note 1:OCNG shall be used such that the eCell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power .,,
