Parameter,Unit,Cell 1,,,Cell 2,,,,Cell 3,,,
,,T1,T2,T3,T1,T2,T3,,T1,,T2,T3
E-UTRA RF Channel Number,,1,,,2,,,,2,,,
Serving / Non-serving,,Serving,,,Non-serving,,,,Non-serving,,,
BWchannel,MHz,5,,,5,,,,5,,,
drx-Configuration,,DRX_P1As specified in Table A.3.12.2-1,,,N/A,,,,N/A,,,
OCNG Patterns defined in A.3.2.1.2,,OP.16 FDD,,,OP.19 FDD,,,,OP.19 FDD,,,
PBCH_RA,dB,0,,,0,,,,0,,,
PBCH_RB,dB,,,,,,,,,,,
PSS_RA,dB,,,,,,,,,,,
SSS_RA,dB,,,,,,,,,,,
PCFICH_RB,dB,,,,,,,,,,,
PHICH_RA,dB,,,,,,,,,,,
PHICH_RB,dB,,,,,,,,,,,
PDCCH_RA,dB,,,,,,,,,,,
PDCCH_RB,dB,,,,,,,,,,,
PDSCH_RA,dB,,,,,,,,,,,
PDSCH_RB,dB,,,,,,,,,,,
OCNG_RANote 1,dB,,,,,,,,,,,
OCNG_RBNote 1,dB,,,,,,,,,,,
Timing offset,us,0,,,0,,,,2,,,
Note 2,dBm/15 kHz,-98,,,,,,,,,,
RSRP Note 3,dBm/15 kHz,-82,,,-82,-85,,-82,-infinity,-82,,-85
,dB,16,,,16,-3.11,,2.79,-infinity,2.79,,-3.11
,dB,16,,,16,13,,16,-infinity,13,,16
SCH_RP Note 3,dBm/15kHz,-82,,,-82,-85,,-82,-infinity,-82,,-85
Propagation Condition,,AWGN,,,AWGN,,,,AWGN,,,
Note 1:OCNG shall be used such that cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,,,,,,,
