Parameter,Unit,Cell 1,,,,Cell 2,,
,,T1,T2,T3,,T1,T2,T3
E-UTRA RF Channel Number,,1,,,,1,,
BWchannel,MHz,10,,,,10,,
PDSCH reference channel as specified in clause A.3.1.4.6,,R.19 TDD,,,,N/A,,
MPDCCH reference channel as specified in clause A.3.1.3.6,,R.16 TDD,,,,N/A,,
OCNG Patterns defined in A.3.2.2.11 (OP.11 TDD) and in A.3.2.2.2 (OP.2 TDD),,OP.11 TDD,OP.11 TDD,OP.11 TDD,,OP.2 TDD,OP.2 TDD,OP.2 TDD
PBCH_RA,dB,-3,,,,-3,,
PBCH_RB,dB,,,,,,,
PSS_RA,dB,,,,,,,
SSS_RA,dB,,,,,,,
PCFICH_RB,dB,0,,,,0,,
PHICH_RA,dB,-3,,,,-3,,
PHICH_RB,dB,,,,,,,
PDCCH_RA,dB,0,,,,0,,
PDCCH_RB,dB,,,,,,,
PDSCH_RA,dB,-3,,,,-3,,
PDSCH_RB,dB,,,,,,,
OCNG_RANote 1,dB,,,,,,,
OCNG_RBNote 1,dB,,,,,,,
Note 2,dBm/15 KHz,-98,,,,,,
,dB,8,8,8,,-Infinity,-3,-3
,dB,8,6.24,6.24,,-Infinity,-11.64,-11.64
RSRP Note 3,dBm/15 KHz,-90,-90,-90,,-Infinity,-101,-101
SCH_RP Note3,dBm/15 KHz,-90,-90,-90,,-Infinity,-101,-101
Io Note 3,dBm/9MHz,-61.58,-61.29,-61.29,,Specified in columns for Cell 1,,
Antenna Configuration,,2x1,,,,2x1,,
Propagation Condition,,AWGN,,,,,,
Timing offset to Cell 1,s,-,,,3,,,
PBCH repetition,,-,,,Configured as specified in TS 36.211 [16],,,
SIB1-BR repetition level,,-,,,16,,,
"Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:Es/Iot, RSRP, SCH_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,,,,,,
